X Xd Y Yd Th Thd s Fn Ft
0 0 0 0 0 0 0 0 0
0.000582154 0.115709 0.000393791 0.0794594 0.0364574 7.29148 0.102 0.874916 0.874916
0.00113077 -0.00968151 0.00154993 0.148576 0.11238 7.74719 0.102 0.874916 -0.874916
0.000372365 -0.143134 0.00335453 0.207564 0.192905 8.20291 0.102 0.874916 -0.874916
-0.00177258 -0.284233 0.00569909 0.255175 0.278033 8.65863 0.102 0.874916 -0.874916
-0.00537835 -0.432353 0.00846235 0.290136 0.367764 9.11434 0.102 0.874916 -0.874916
-0.0104678 -0.577767 0.0114925 0.307839 0.459876 9.12578 0.0961597 0.824821 -0.824821
-0.0170954 -0.736928 0.0146472 0.31442 0.554325 9.5815 0.102 0.874916 -0.874916
-0.0252716 -0.884004 0.0177761 0.302691 0.649779 9.31774 0.0921564 0.790482 -0.790482
-0.0350234 -1.04893 0.0207244 0.278249 0.746167 9.77346 0.102 0.874916 -0.874916
-0.0464455 -1.21448 0.023345 0.237491 0.847157 10.2292 0.102 0.874916 -0.874916
-0.0595359 -1.37897 0.0254692 0.179676 0.952751 10.6849 0.102 0.874916 -0.874916
-0.0742743 -1.54047 0.0269219 0.104263 1.06295 11.1406 0.102 0.874916 -0.874916
-0.0900887 -1.59451 0.0285671 0.221704 1.17319 10.6849 0 0.874916 0.874916
-0.106948 -1.74415 0.030271 0.111857 1.28338 11.1406 0.102 0.874916 -0.874916
-0.125279 -1.88602 0.0307877 -0.0125709 1.35945 3.84914 0 0.874916 -0.874916
-0.144786 -1.97852 0.0311554 0.0857763 1.39604 3.39342 0 0.874916 0.874916
-0.165378 -2.10037 0.0317351 0.02826 1.40535 -1.59932 0 0.874916 -0.28648
-0.187268 -2.23587 0.0313475 -0.106031 1.39148 -1.1436 0.102 0.874916 -0.874916
-0.210533 -2.37246 0.0296119 -0.238744 1.38221 -0.687884 0.102 0.874916 -0.874916
-0.235181 -2.50971 0.0265413 -0.370501 1.37754 -0.232167 0.102 0.874916 -0.874916
-0.261216 -2.64719 0.0221421 -0.501929 1.37747 0.22355 0.102 0.874916 -0.874916
