X Xd Y Yd Th Thd s Fn Ft
0 0 0 0 0 0 0 0 0
-0.000467003 -0.093436 0.000390262 0.0780241 0.00181647 0.363294 0.0916568 0.874916 -0.697476
-0.000830335 0.0218406 0.00157385 0.157902 0.0419431 7.65477 0.102 0.874916 0.874916
-0.0004818 0.0453873 0.0035695 0.238469 0.143586 12.5206 0.102 0.874916 0.254
-0.000706526 -0.0932009 0.00625032 0.289924 0.272322 12.9763 0.102 0.874916 -0.874916
-0.0023859 -0.242416 0.00935816 0.322495 0.405662 13.4321 0.102 0.874916 -0.874916
-0.0049033 -0.256317 0.0124442 0.287962 0.538409 12.8487 0.00900572 0.0772476 -0.0772476
-0.00830267 -0.419095 0.0153253 0.278879 0.670459 13.3044 0.102 0.874916 -0.874916
-0.0133612 -0.58441 0.0180053 0.247726 0.807112 13.7601 0.102 0.874916 -0.874916
-0.0193189 -0.599247 0.021138 0.373523 0.943811 13.3044 0 0.874916 0.874916
-0.0261821 -0.760553 0.0245488 0.297449 1.08046 13.7601 0.102 0.874916 -0.874916
-0.0346065 -0.908089 0.0271595 0.215244 1.22138 14.1483 0.0944409 0.874916 -0.745239
-0.0437782 -0.908089 0.0291382 0.176204 1.36428 14.1483 0 0 0
-0.0536207 -1.03979 0.0302378 0.0369663 1.50946 14.604 0.102 0.874916 -0.874916
-0.0647153 -1.15534 0.0298383 -0.120528 1.65923 15.0597 0.102 0.874916 -0.874916
-0.07679 -1.23378 0.0278896 -0.268748 1.80728 14.2492 0.0828644 0.710779 -0.710779
-0.0899766 -1.38069 0.0253785 -0.231601 1.94892 13.7935 0 0.874916 0.874916
-0.104464 -1.48826 0.0226235 -0.316951 2.06946 10.0376 0 0.874916 0.030138
-0.120297 -1.64919 0.0194351 -0.317071 2.16856 9.58191 0 0.874916 0.874916
-0.137772 -1.81313 0.0161665 -0.33293 2.26306 9.12619 0 0.874916 0.874916
-0.156371 -1.86931 0.0120475 -0.484833 2.32905 3.88903 0 0.874916 -0.349048
-0.175263 -1.87046 0.00612745 -0.689489 2.3706 4.34475 0.102 0.874916 -0.874916
-0.194131 -1.86435 -0.00185935 -0.894033 2.41677 4.80046 0.102 0.874916 -0.874916
-0.213215 -1.91472 -0.0116387 -1.04415 2.44091 -0.067239 0 0.874916 -0.254474
-0.232491 -1.9023 -0.0231186 -1.23095 2.43864 -0.385945 0.0913128 0.783245 -0.783245
-0.251637 -1.88886 -0.0365718 -1.43508 2.43702 0.0697718 0.102 0.874916 -0.874916
-0.270647 -1.87531 -0.0520867 -1.63919 2.44 0.525489 0.102 0.874916 -0.874916
