X Xd Y Yd Th Thd s Fn Ft
0 0 0 0 0 0 0 0 0
0.000582154 0.115709 0.000393791 0.0794594 0.0364574 7.29148 0.102 0.874916 0.874916
0.00113077 -0.00968151 0.00154993 0.148576 0.11238 7.74719 0.102 0.874916 -0.874916
0.000372365 -0.143134 0.00335453 0.207564 0.192905 8.20291 0.102 0.874916 -0.874916
-0.00100024 -0.130773 0.00587281 0.292161 0.301204 13.2928 0.102 0.874916 0.311347
-0.00198762 -0.0674175 0.00937005 0.402854 0.433264 12.8533 0.00182029 0.874916 0.843689
-0.00241595 -0.0203071 0.014032 0.522488 0.560804 12.3976 0 0.874916 0.874916
-0.00246955 0.00661183 0.0199277 0.646772 0.683741 11.9419 0 0.874916 0.874916
-0.00235097 0.0136767 0.0270912 0.773116 0.802076 11.4862 0 0.874916 0.874916
-0.00225769 0.00154262 0.0355311 0.899174 0.915808 11.0305 0 0.874916 0.874916
-0.00237928 -0.02888 0.045234 1.02286 1.02494 10.5748 0 0.874916 0.874916
-0.00289504 -0.0764858 0.0561667 1.14239 1.12946 10.119 0 0.874916 0.874916
-0.0039724 -0.14003 0.0682794 1.25623 1.22939 9.66332 0 0.874916 0.874916
-0.00612251 -0.285873 0.0803926 1.13883 1.32927 10.119 0.102 0.874916 -0.874916
-0.0094614 -0.378497 0.0923935 1.23702 1.42919 9.66332 0 0.874916 0.874916
-0.0139301 -0.505886 0.104174 1.09223 1.52907 10.119 0.102 0.874916 -0.874916
-0.0196296 -0.621821 0.11443 0.935002 1.63355 10.5748 0.102 0.874916 -0.874916
-0.0265495 -0.751535 0.124204 0.998838 1.73807 10.119 0 0.874916 0.874916
-0.0348302 -0.891076 0.134554 1.0489 1.838 9.66332 0 0.874916 0.874916
-0.0442167 -0.96593 0.144221 0.862184 1.93788 10.119 0.102 0.874916 -0.874916
-0.0547399 -1.12038 0.153045 0.882778 2.0378 9.66332 0 0.874916 0.874916
-0.0662894 -1.16443 0.160971 0.684144 2.13768 10.119 0.102 0.874916 -0.874916
-0.0781452 -1.18182 0.167182 0.544082 2.23216 8.57431 0.0631504 0.541679 -0.541679
-0.0901604 -1.19512 0.171658 0.34 2.32104 9.03003 0.102 0.874916 -0.874916
-0.103059 -1.36069 0.174902 0.299429 2.40996 8.57431 0 0.874916 0.874916
-0.116734 -1.3446 0.176905 0.0955965 2.49884 9.03003 0.102 0.874916 -0.874916
-0.130172 -1.31356 0.17686 -0.106081 2.59232 9.48575 0.102 0.874916 -0.874916
-0.143757 -1.37581 0.175101 -0.24448 2.66965 5.78927 0 0.874916 0.0453391
-0.157382 -1.32009 0.171654 -0.439472 2.7304 6.24499 0.102 0.874916 -0.874916
-0.170396 -1.25466 0.166256 -0.63064 2.79575 6.7007 0.102 0.874916 -0.874916
-0.182699 -1.1791 0.15895 -0.817036 2.8657 7.15642 0.102 0.874916 -0.874916
-0.194187 -1.09311 0.14979 -0.99759 2.94026 7.61214 0.102 0.874916 -0.874916
-0.204753 -0.996512 0.13884 -1.17112 3.01942 8.06786 0.102 0.874916 -0.874916
-0.214291 -0.889295 0.126178 -1.33635 3.10319 8.52357 0.102 0.874916 -0.874916
-0.222693 -0.771635 0.111894 -1.49188 3.19155 8.97929 0.102 0.874916 -0.874916
-0.229856 -0.643916 0.0960942 -1.63629 3.28452 9.43501 0.102 0.874916 -0.874916
-0.236608 -0.691609 0.0787344 -1.8037 3.37843 9.15849 0.0200549 0.874916 0.53087
-0.243142 -0.599845 0.0598384 -1.93798 3.47213 9.39795 0.0777975 0.874916 -0.459717
-0.248752 -0.509043 0.0396121 -2.06747 3.54008 4.00362 0 0.874916 -0.38928
-0.253637 -0.457464 0.0180083 -2.21178 3.5604 -0.0192583 0 0.874916 -0.0382131
-0.257484 -0.302799 -0.00482251 -2.31009 3.56249 0.436459 0.102 0.874916 -0.874916
