X Xd Y Yd Th Thd s Fn Ft
0 0 0 0 0 0 0 0 0
0.000582154 0.115709 0.000393791 0.0794594 0.0364574 7.29148 0.102 0.874916 0.874916
0.00113077 -0.00968151 0.00154993 0.148576 0.11238 7.74719 0.102 0.874916 -0.874916
0.000372365 -0.143134 0.00335453 0.207564 0.192905 8.20291 0.102 0.874916 -0.874916
-0.00177258 -0.284233 0.00569909 0.255175 0.278033 8.65863 0.102 0.874916 -0.874916
-0.00476885 -0.311421 0.00865568 0.33054 0.386479 12.8575 0.102 0.874916 0.0832548
-0.00762503 -0.256944 0.0125746 0.447798 0.514061 12.4017 0 0.874916 0.874916
-0.0100308 -0.222427 0.017708 0.570647 0.63704 11.946 0 0.874916 0.874916
-0.012187 -0.207652 0.0240992 0.696481 0.755416 11.4903 0 0.874916 0.874916
-0.0142906 -0.212076 0.0317663 0.822925 0.86919 11.0346 0 0.874916 0.874916
-0.0164325 -0.212076 0.0398827 0.783885 0.980639 11.0346 0 0 -0
-0.0185745 -0.212076 0.0476047 0.744845 1.09209 11.0346 0 0 -0
-0.0209947 -0.270568 0.0557122 0.860677 1.20126 10.5789 0 0.874916 0.874916
-0.0240878 -0.345252 0.0649552 0.969391 1.30583 10.1232 0 0.874916 0.874916
-0.0282789 -0.484474 0.0741151 0.840763 1.41035 10.5789 0.102 0.874916 -0.874916
-0.033826 -0.613348 0.0819039 0.697808 1.51948 11.0346 0.102 0.874916 -0.874916
-0.0406146 -0.729865 0.0881797 0.541175 1.6332 11.4903 0.102 0.874916 -0.874916
-0.0485098 -0.831983 0.0928092 0.371852 1.75153 11.946 0.102 0.874916 -0.874916
-0.057356 -0.91768 0.0956704 0.191195 1.87447 12.4017 0.102 0.874916 -0.874916
-0.0669775 -0.985017 0.0966575 0.000952483 2.002 12.8575 0.102 0.874916 -0.874916
-0.0771798 -1.03221 0.095684 -0.196727 2.13414 13.3132 0.102 0.874916 -0.874916
-0.0876051 -1.03221 0.0935019 -0.235767 2.26861 13.3132 0 0 0
-0.0980663 -1.03557 0.0900984 -0.440275 2.40535 13.7689 0.102 0.874916 -0.874916
-0.108447 -1.01596 0.0846325 -0.643644 2.54669 14.2246 0.102 0.874916 -0.874916
-0.118708 -1.01596 0.0779365 -0.682684 2.69036 14.2246 0 0 0
-0.128661 -0.950602 0.070078 -0.873753 2.83631 14.6803 0.102 0.874916 -0.874916
-0.138262 -0.950602 0.0610579 -0.912793 2.98458 14.6803 0 0 0
-0.147811 -0.939752 0.0515778 -0.964697 3.12954 14.019 0.0103726 0.0889722 -0.0889722
-0.157152 -0.90902 0.0414983 -1.03121 3.26446 12.6834 0.025406 0.217922 -0.217922
-0.166815 -1.00246 0.0302147 -1.20688 3.39028 12.2277 0 0.874916 0.874916
-0.176766 -0.965806 0.0172708 -1.35711 3.49416 8.30276 0 0.874916 -0.0131507
-0.18576 -0.812695 0.00304251 -1.45919 3.58029 8.75848 0.102 0.874916 -0.874916
-0.194227 -0.862204 -0.0126769 -1.65624 3.66647 8.30276 0 0.874916 0.874916
-0.202599 -0.793894 -0.0300807 -1.79066 3.72991 4.21781 0 0.874916 -0.0541016
-0.210091 -0.688426 -0.0487115 -1.8994 3.74619 -1.04479 0 0.874916 -0.35556
-0.21623 -0.525629 -0.0682421 -1.96895 3.73792 -0.589068 0.102 0.874916 -0.874916
-0.220725 -0.363018 -0.0884807 -2.03948 3.73425 -0.133351 0.102 0.874916 -0.874916
