X Xd Y Yd Th Thd s Fn Ft
0 0 0 0 0 0 0 0 0
-0.000582154 -0.115709 0.000393791 0.0794594 -0.0364574 -7.29148 0 0.874916 -0.874916
-0.00230007 -0.224055 0.00162079 0.165653 -0.107823 -6.83576 0.102 0.874916 -0.874916
-0.0050677 -0.323501 0.00375517 0.25903 -0.174585 -6.38004 0.102 0.874916 -0.874916
-0.00879585 -0.414209 0.0068642 0.358544 -0.236745 -5.92432 0.102 0.874916 -0.874916
-0.0133976 -0.496464 0.011005 0.463241 -0.294302 -5.46861 0.102 0.874916 -0.874916
-0.0187894 -0.570654 0.0162255 0.572266 -0.347257 -5.01289 0.102 0.874916 -0.874916
-0.0248922 -0.63725 0.0225657 0.684863 -0.395608 -4.55717 0.102 0.874916 -0.874916
-0.0316318 -0.696793 0.0300581 0.800368 -0.439357 -4.10145 0.102 0.874916 -0.874916
-0.0387041 -0.703579 0.0380474 0.781522 -0.48483 -4.91117 0.0131203 0.11254 -0.11254
-0.0460429 -0.748832 0.0465403 0.901796 -0.532155 -4.45546 0.102 0.874916 -0.874916
-0.0528014 -0.587585 0.0556486 0.900549 -0.579433 -4.91117 0 0.874916 0.874916
-0.058736 -0.587585 0.064549 0.861509 -0.629036 -4.91117 0 0 0
-0.0640421 -0.461457 0.0733148 0.873338 -0.679984 -5.18028 0.0208844 0.874916 0.51664
-0.067878 -0.296359 0.082013 0.84733 -0.734584 -5.63599 0 0.874916 0.874916
-0.0700435 -0.130791 0.0904022 0.811915 -0.793786 -6.09171 0 0.874916 0.874916
-0.0713412 -0.124483 0.0992351 0.938362 -0.853034 -5.63599 0.102 0.874916 -0.874916
-0.0725275 -0.108762 0.109342 1.06419 -0.907679 -5.18028 0.102 0.874916 -0.874916
-0.0731786 -0.0188527 0.120275 1.10046 -0.941556 -1.49158 0.102 0.874916 -0.0473299
-0.0732365 0.00800463 0.132012 1.22486 -0.954342 -1.03586 0.102 0.874916 -0.874916
-0.0723389 0.171457 0.14405 1.15907 -0.928347 6.25562 0.102 0.874916 0.874916
-0.0700991 0.272202 0.155863 1.18167 -0.843534 10.582 0.102 0.874916 0.115894
-0.0673499 0.272202 0.167602 1.14263 -0.736656 10.582 0 0 -0
-0.0646006 0.272202 0.178948 1.10359 -0.629778 10.582 0 0 -0
-0.0610384 0.434197 0.190055 1.09871 -0.525179 10.1262 0 0.874916 0.874916
-0.0558604 0.591862 0.201196 1.11019 -0.425182 9.67052 0 0.874916 0.874916
-0.0501993 0.525972 0.212979 1.22304 -0.325232 10.1262 0.102 0.874916 -0.874916
-0.0452795 0.444928 0.225865 1.32836 -0.220678 10.582 0.102 0.874916 -0.874916
-0.0412532 0.348957 0.23977 1.42421 -0.111522 11.0377 0.102 0.874916 -0.874916
-0.0371009 0.472506 0.254499 1.49537 -0.00231977 10.582 0 0.874916 0.874916
-0.0322791 0.480282 0.269994 1.57393 0.104291 10.5286 0.0450298 0.874916 0.102419
-0.0280893 0.346291 0.286194 1.63212 0.212909 10.9843 0.102 0.874916 -0.874916
-0.0241686 0.428307 0.303195 1.73689 0.321572 10.5286 0 0.874916 0.874916
-0.0194979 0.494592 0.321295 1.84956 0.425632 10.0729 0 0.874916 0.874916
-0.0152868 0.336859 0.340046 1.86081 0.529647 10.5286 0.102 0.874916 -0.874916
-0.0117028 0.370375 0.359452 1.9839 0.633707 10.0729 0 0.874916 0.874916
-0.00878413 0.205655 0.379392 1.96148 0.737722 10.5286 0.102 0.874916 -0.874916
-0.00753484 0.0401069 0.399018 1.9215 0.84634 10.9843 0.102 0.874916 -0.874916
-0.0078179 -0.097792 0.418315 1.89679 0.958728 11.2735 0.0833668 0.874916 -0.55526
-0.00961511 -0.258955 0.437104 1.81994 1.07487 11.7293 0.102 0.874916 -0.874916
-0.0130141 -0.414515 0.455023 1.72432 1.19561 12.185 0.102 0.874916 -0.874916
-0.0179458 -0.561949 0.471883 1.61003 1.32096 12.6407 0.102 0.874916 -0.874916
-0.024315 -0.6986 0.487497 1.47761 1.45091 13.0964 0.102 0.874916 -0.874916
-0.0319991 -0.82174 0.501686 1.32798 1.58546 13.5521 0.102 0.874916 -0.874916
-0.0408479 -0.928638 0.514285 1.1626 1.72462 14.0078 0.102 0.874916 -0.874916
-0.0506842 -1.01665 0.525142 0.983416 1.86837 14.4636 0.102 0.874916 -0.874916
-0.0613048 -1.08334 0.53413 0.792927 2.01674 14.9193 0.102 0.874916 -0.874916
-0.072483 -1.12654 0.54115 0.594155 2.1697 15.375 0.102 0.874916 -0.874916
-0.083861 -1.12654 0.546956 0.555115 2.32499 15.375 0 0 0
-0.095239 -1.12654 0.552367 0.516075 2.48027 15.375 0 0 0
-0.107432 -1.2887 0.557241 0.444127 2.63328 14.9193 0 0.874916 0.874916
-0.121232 -1.44409 0.561266 0.348199 2.78169 14.4636 0 0.874916 0.874916
-0.136122 -1.50244 0.564071 0.204395 2.92726 14.3615 0.0395726 0.874916 0.196039
-0.150817 -1.40314 0.565266 0.0329816 3.07459 14.8172 0.102 0.874916 -0.874916
-0.165338 -1.47008 0.564825 -0.123518 3.22292 14.5534 0.0214844 0.874916 0.506346
-0.179529 -1.33642 0.562878 -0.260123 3.37219 15.0091 0.102 0.874916 -0.874916
-0.192303 -1.18958 0.559655 -0.375427 3.52606 15.4649 0.102 0.874916 -0.874916
-0.204602 -1.24231 0.554891 -0.571307 3.67998 15.0091 0 0.874916 0.874916
-0.217312 -1.27075 0.548114 -0.773363 3.82929 14.5534 0 0.874916 0.874916
-0.229619 -1.16407 0.539794 -0.872866 3.95158 9.61218 0 0.874916 -0.273301
-0.240761 -1.04053 0.530592 -0.948768 4.02142 4.16412 0 0.874916 -0.403035
-0.251181 -1.0216 0.519991 -1.15234 4.0612 3.7084 0 0.874916 0.874916
-0.260974 -0.91643 0.507881 -1.24623 4.07654 -0.71389 0 0.874916 -0.140456
-0.269411 -0.752578 0.495221 -1.26106 4.07161 -0.258173 0.102 0.874916 -0.874916
-0.276192 -0.588662 0.482408 -1.27631 4.07128 0.197544 0.102 0.874916 -0.874916
-0.282018 -0.564806 0.468502 -1.47926 4.071 -0.258173 0 0.874916 0.874916
-0.287605 -0.54137 0.452547 -1.68226 4.06611 -0.71389 0 0.874916 0.874916
-0.293073 -0.54137 0.435361 -1.7213 4.0589 -0.71389 0 0 -0
-0.29772 -0.377116 0.417888 -1.73902 4.05397 -0.258173 0.102 0.874916 -0.874916
-0.300707 -0.212807 0.400233 -1.75718 4.05364 0.197544 0.102 0.874916 -0.874916
-0.302751 -0.191845 0.381469 -1.96052 4.05336 -0.258173 0 0.874916 0.874916
-0.303867 -0.027523 0.361576 -1.97877 4.05303 0.197544 0.102 0.874916 -0.874916
-0.304041 -0.00666241 0.340574 -2.18212 4.05275 -0.258173 0 0.874916 0.874916
-0.304005 0.0137772 0.317518 -2.38553 4.04786 -0.71389 0 0.874916 0.874916
-0.303044 0.178256 0.293327 -2.40506 4.04293 -0.258173 0.102 0.874916 -0.874916
-0.300956 0.235709 0.268261 -2.56009 4.03925 -0.472593 0.0270039 0.874916 0.411658
-0.297752 0.400328 0.2423 -2.58084 4.03675 -0.0168762 0.102 0.874916 -0.874916
-0.292886 0.564951 0.21613 -2.60163 4.03886 0.438841 0.102 0.874916 -0.874916
-0.286357 0.729492 0.189752 -2.62169 4.04557 0.894558 0.102 0.874916 -0.874916
-0.278167 0.893855 0.163178 -2.64028 4.05689 1.35028 0.102 0.874916 -0.874916
-0.269029 0.916295 0.135496 -2.84342 4.06825 0.894558 0 0.874916 0.874916
-0.259655 0.940225 0.105762 -3.04636 4.075 0.438841 0 0.874916 0.874916
