X Xd Y Yd Th Thd s Fn Ft
0 0 0 0 0 0 0 0 0
0.000582154 0.115709 0.000393791 0.0794594 0.0364574 7.29148 0.102 0.874916 0.874916
0.00113077 -0.00968151 0.00154993 0.148576 0.11238 7.74719 0.102 0.874916 -0.874916
0.000372365 -0.143134 0.00335453 0.207564 0.192905 8.20291 0.102 0.874916 -0.874916
-0.00175413 -0.280554 0.00570323 0.256058 0.277959 8.64391 0.100353 0.874916 -0.846665
-0.00532269 -0.428663 0.00847549 0.29104 0.367542 9.09963 0.102 0.874916 -0.874916
-0.00933879 -0.368309 0.0119862 0.406185 0.457169 8.64391 0 0.874916 0.874916
-0.0133346 -0.42532 0.0164098 0.469389 0.563807 12.5108 0.102 0.874916 -0.00170855
-0.0184448 -0.588769 0.0211036 0.45644 0.692445 12.9666 0.102 0.874916 -0.874916
-0.0252181 -0.754216 0.0255596 0.421931 0.825686 13.4223 0.102 0.874916 -0.874916
-0.0336604 -0.91875 0.0295557 0.365028 0.96353 13.878 0.102 0.874916 -0.874916
-0.0429512 -0.921267 0.0330974 0.33595 1.10356 13.8497 0 0.0543167 0.0543167
-0.052256 -0.921267 0.0362953 0.29691 1.24344 13.8497 0 0 0
-0.0622855 -1.06422 0.0386991 0.174489 1.3856 14.3054 0.102 0.874916 -0.874916
-0.0736941 -1.19367 0.0397668 0.0323666 1.53236 14.7611 0.102 0.874916 -0.874916
-0.0863305 -1.30723 0.0394233 -0.104596 1.68327 15.1264 0.0918739 0.874916 -0.7012
-0.100083 -1.41582 0.0378983 -0.200659 1.81133 10.1822 0 0.874916 -0.27404
-0.114787 -1.4942 0.0349543 -0.385524 1.91645 10.6379 0.102 0.874916 -0.874916
-0.130392 -1.59605 0.030572 -0.484682 2.00209 6.27736 0 0.874916 -0.124659
-0.147089 -1.71104 0.0253287 -0.555518 2.06505 6.18841 0.041045 0.874916 0.170781
-0.164683 -1.77285 0.0188815 -0.723132 2.09629 -0.062496 0 0.874916 -0.608548
-0.182801 -1.81534 0.0105823 -0.922259 2.09794 0.393221 0.102 0.874916 -0.874916
-0.201136 -1.81534 0.00107229 -0.961299 2.10191 0.393221 0 0 0
-0.219678 -1.85657 -0.00963391 -1.16076 2.10816 0.848938 0.102 0.874916 -0.874916
-0.23863 -1.89643 -0.0223562 -1.36056 2.11902 1.30466 0.102 0.874916 -0.874916
