X Xd Y Yd Th Thd s Fn Ft
0 0 0 0 0 0 0 0 0
0.000582154 0.115709 0.000393791 0.0794594 0.0364574 7.29148 0.102 0.874916 0.874916
0.00113077 -0.00968151 0.00154993 0.148576 0.11238 7.74719 0.102 0.874916 -0.874916
0.00111686 0.00501044 0.00345871 0.230458 0.214908 12.6035 0.102 0.874916 0.251544
0.000452641 -0.139706 0.00600856 0.271746 0.344481 13.0592 0.102 0.874916 -0.874916
-0.00172162 -0.29372 0.0088784 0.293308 0.478657 13.5149 0.102 0.874916 -0.874916
-0.00548771 -0.454537 0.0118598 0.293354 0.617436 13.9706 0.102 0.874916 -0.874916
-0.00997762 -0.438204 0.015449 0.419005 0.756261 13.5149 0 0.874916 0.874916
-0.014416 -0.444441 0.0203134 0.545355 0.890483 13.0592 0 0.874916 0.874916
-0.0190267 -0.472383 0.0264451 0.669455 1.0201 12.6035 0 0.874916 0.874916
-0.0240233 -0.520821 0.0338079 0.788694 1.14512 12.1477 0 0.874916 0.874916
-0.0296056 -0.588275 0.0423411 0.900819 1.26553 11.692 0 0.874916 0.874916
-0.0360644 -0.692985 0.0515719 0.925252 1.38292 11.5521 0.03534 0.874916 0.26865
-0.0437295 -0.824157 0.06023 0.785241 1.50188 12.0078 0.102 0.874916 -0.874916
-0.0526556 -0.942151 0.0673976 0.630112 1.62543 12.4635 0.102 0.874916 -0.874916
-0.0627387 -1.05466 0.0733516 0.545699 1.75194 12.5878 0.064905 0.874916 -0.238543
-0.0738321 -1.13984 0.0779677 0.364744 1.88135 13.0435 0.102 0.874916 -0.874916
-0.0853445 -1.13984 0.0814564 0.325704 2.01309 13.0435 0 0 0
-0.0971012 -1.18512 0.08376 0.127472 2.14711 13.4992 0.102 0.874916 -0.874916
-0.109206 -1.20836 0.0840357 -0.075428 2.28573 13.9549 0.102 0.874916 -0.874916
-0.121431 -1.20835 0.0822512 -0.279958 2.42895 14.4106 0.102 0.874916 -0.874916
-0.133567 -1.19219 0.0786637 -0.431565 2.56774 13.0583 0.070089 0.601196 -0.601196
-0.14553 -1.17529 0.0738075 -0.530686 2.69139 11.4105 0.0384593 0.329889 -0.329889
-0.157596 -1.21269 0.0676989 -0.681024 2.78597 7.27744 0 0.874916 -0.0664077
-0.169674 -1.17764 0.0599454 -0.855793 2.82886 1.15533 0 0.874916 -0.57558
-0.182304 -1.32473 0.0507272 -0.970979 2.83825 0.699613 0 0.874916 0.874916
-0.195684 -1.32473 0.0407251 -1.01002 2.84532 0.699613 0 0 0
-0.209794 -1.47073 0.0299382 -1.12728 2.8501 0.243896 0 0.874916 0.874916
-0.224437 -1.42849 0.0179639 -1.24507 2.84417 -1.43493 0.0550311 0.472035 -0.472035
-0.23848 -1.35177 0.00446028 -1.4309 2.83196 -0.979216 0.102 0.874916 -0.874916
-0.251755 -1.27652 -0.0109243 -1.61749 2.82435 -0.523499 0.102 0.874916 -0.874916
-0.264276 -1.20206 -0.0281958 -1.80448 2.82134 -0.0677817 0.102 0.874916 -0.874916
-0.276045 -1.12771 -0.0473564 -1.99153 2.82293 0.387935 0.102 0.874916 -0.874916
