X Xd Y Yd Th Thd s Fn Ft
0 0 0 0 0 0 0 0 0
0.000582154 0.115709 0.000393791 0.0794594 0.0364574 7.29148 0.102 0.874916 0.874916
0.00175742 0.115171 0.00158822 0.157825 0.130755 11.4222 0.102 0.874916 0.0658113
0.00224525 -0.0217514 0.00346576 0.211815 0.248397 11.8779 0.102 0.874916 -0.874916
0.00129807 -0.168813 0.00580491 0.248752 0.370642 12.3336 0.102 0.874916 -0.874916
-0.00117761 -0.324165 0.0084243 0.266834 0.49749 12.7893 0.102 0.874916 -0.874916
-0.00525466 -0.485572 0.0111252 0.264433 0.628941 13.245 0.102 0.874916 -0.874916
-0.0109815 -0.650414 0.0136936 0.240184 0.764994 13.7008 0.102 0.874916 -0.874916
-0.0175709 -0.658248 0.0167517 0.366463 0.901093 13.245 0 0.874916 0.874916
-0.0242192 -0.658248 0.0202578 0.327423 1.03487 13.245 0 0 0
-0.0316598 -0.815535 0.0231301 0.236881 1.17092 13.7008 0.102 0.874916 -0.874916
-0.0406433 -0.963144 0.024984 0.125684 1.31128 14.0977 0.101264 0.868604 -0.868604
-0.0510666 -1.1 0.0256097 -0.00640272 1.45595 14.5534 0.102 0.874916 -0.874916
-0.0627994 -1.22174 0.0248047 -0.157518 1.60522 15.0091 0.102 0.874916 -0.874916
-0.0756729 -1.32517 0.0223862 -0.325721 1.75909 15.4648 0.102 0.874916 -0.874916
-0.0894866 -1.40724 0.0181938 -0.508428 1.91756 15.9206 0.102 0.874916 -0.874916
-0.104466 -1.56211 0.0131754 -0.489215 2.07608 15.4648 0 0.874916 0.874916
-0.120883 -1.68958 0.00796 -0.547413 2.23122 15.2541 0.0274193 0.874916 0.404533
-0.138773 -1.85485 0.00229794 -0.578274 2.38301 14.7984 0 0.874916 0.874916
-0.158333 -2.0195 -0.00380007 -0.633845 2.5302 14.3427 0 0.874916 0.874916
-0.17879 -2.02891 -0.0110534 -0.804341 2.64685 8.70065 0 0.874916 -0.452694
-0.199021 -1.97449 -0.0201585 -0.999758 2.737 9.15636 0.102 0.874916 -0.874916
-0.218964 -1.97449 -0.0304513 -1.0388 2.82948 9.15636 0 0 0
-0.239631 -2.11831 -0.0415375 -1.15987 2.91968 8.70065 0 0.874916 0.874916
-0.261196 -2.15096 -0.0540106 -1.31194 2.98985 5.15946 0 0.874916 0.0850909
-0.282419 -2.04939 -0.0681151 -1.48179 3.04424 5.61518 0.102 0.874916 -0.874916
-0.30258 -1.94058 -0.0839059 -1.64567 3.10323 6.07089 0.102 0.874916 -0.874916
-0.322141 -1.93201 -0.101309 -1.80196 3.14368 1.89643 0 0.874916 -0.0770166
