X Xd Y Yd Th Thd s Fn Ft
0 0 0 0 0 0 0 0 0
0.000485422 0.096421 0.000393007 0.0791402 0.0336265 6.7253 0.102 0.874916 0.729985
0.0008418 -0.0283598 0.00154884 0.148969 0.103831 7.18102 0.102 0.874916 -0.874916
-0.000100038 -0.160693 0.00336428 0.209473 0.178637 7.63673 0.102 0.874916 -0.874916
-0.0012723 -0.0732274 0.0059792 0.310982 0.292226 14.9282 0.102 0.874916 0.874916
-0.00165616 -0.00586087 0.00967222 0.423089 0.440722 14.4725 0 0.874916 0.874916
-0.00147291 0.0387677 0.0145416 0.543407 0.584616 14.0168 0 0.874916 0.874916
-0.000953656 0.0604586 0.0206526 0.668437 0.723907 13.5611 0 0.874916 0.874916
-0.000328864 0.0595369 0.0280362 0.794901 0.858595 13.1053 0 0.874916 0.874916
0.00017659 0.0367717 0.0366918 0.919803 0.98868 12.6496 0 0.874916 0.874916
0.000347471 -0.00670577 0.0465897 1.04047 1.11416 12.1939 0 0.874916 0.874916
-1.85589e-05 -0.069484 0.0576755 1.1546 1.23504 11.7382 0 0.874916 0.874916
-0.0011085 -0.149948 0.069873 1.26023 1.35132 11.2825 0 0.874916 0.874916
-0.00330458 -0.284379 0.0819362 1.12459 1.46755 11.7382 0.102 0.874916 -0.874916
-0.00672301 -0.396012 0.0937215 1.20778 1.58383 11.2825 0 0.874916 0.874916
-0.0113366 -0.52083 0.10628 1.27749 1.6955 10.8268 0 0.874916 0.874916
-0.0170811 -0.615097 0.118316 1.10236 1.80713 11.2825 0.102 0.874916 -0.874916
-0.0240152 -0.760898 0.129661 1.14173 1.91881 10.8268 0 0.874916 0.874916
-0.0322786 -0.876052 0.140866 1.07435 2.02779 10.7529 0.0427313 0.874916 0.141851
-0.0414573 -0.939828 0.1509 0.90974 2.13791 11.0577 0.0851188 0.874916 -0.585315
-0.0510989 -0.966569 0.159079 0.707332 2.25188 11.5135 0.102 0.874916 -0.874916
-0.0609158 -0.974182 0.165201 0.502933 2.37044 11.9692 0.102 0.874916 -0.874916
-0.0715817 -1.13927 0.170042 0.451762 2.48905 11.5135 0 0.874916 0.874916
-0.0837302 -1.26657 0.174146 0.357578 2.60389 11.2236 0.018557 0.874916 0.556567
-0.0962898 -1.21693 0.176768 0.160617 2.71952 11.6793 0.102 0.874916 -0.874916
-0.109343 -1.36802 0.177871 0.0539282 2.83521 11.2236 0 0.874916 0.874916
-0.123276 -1.38945 0.177645 -0.100531 2.92794 7.09872 0 0.874916 -0.0643148
-0.137084 -1.34343 0.175793 -0.267522 2.97019 1.20831 0 0.874916 -0.516267
-0.150602 -1.33323 0.172824 -0.320878 2.97896 0.521801 0.0108239 0.0928434 -0.0928434
-0.163583 -1.23617 0.168717 -0.494131 2.98651 0.977518 0.102 0.874916 -0.874916
-0.176736 -1.36957 0.163041 -0.631346 2.9941 0.521801 0 0.874916 0.874916
-0.190801 -1.4159 0.155911 -0.781979 2.99879 0.406175 0.0380601 0.874916 0.221987
-0.204864 -1.36853 0.147501 -0.884404 2.99432 -1.30907 0.0487313 0.417998 -0.417998
-0.218196 -1.27064 0.137706 -1.05705 2.98337 -0.853351 0.102 0.874916 -0.874916
-0.230545 -1.17391 0.126163 -1.23054 2.97703 -0.397634 0.102 0.874916 -0.874916
-0.24192 -1.07773 0.112866 -1.40442 2.9753 0.0580832 0.102 0.874916 -0.874916
-0.252493 -1.01548 0.0980473 -1.5312 2.96855 -1.40961 0.0662476 0.568246 -0.568246
-0.262277 -0.921138 0.0817072 -1.70638 2.95659 -0.953897 0.102 0.874916 -0.874916
-0.271114 -0.828113 0.063593 -1.88246 2.94923 -0.49818 0.102 0.874916 -0.874916
-0.279016 -0.735784 0.0436976 -2.05901 2.94648 -0.0424626 0.102 0.874916 -0.874916
-0.285986 -0.643521 0.0220185 -2.2356 2.94833 0.413255 0.102 0.874916 -0.874916
