X Xd Y Yd Th Thd s Fn Ft
0 0 0 0 0 0 0 0 0
0.000582154 0.115709 0.000393791 0.0794594 0.0364574 7.29148 0.102 0.874916 0.874916
0.00113077 -0.00968151 0.00154993 0.148576 0.11238 7.74719 0.102 0.874916 -0.874916
0.000372365 -0.143134 0.00335453 0.207564 0.192905 8.20291 0.102 0.874916 -0.874916
-0.00120414 -0.171254 0.00582636 0.282166 0.295083 12.0685 0.102 0.874916 -0.00204426
-0.00257309 -0.10214 0.00922614 0.39354 0.414696 11.6128 0 0.874916 0.874916
-0.0033343 -0.0511079 0.0137881 0.511978 0.529707 11.1571 0 0.874916 0.874916
-0.00367043 -0.0181131 0.019572 0.635165 0.640115 10.7014 0 0.874916 0.874916
-0.00376222 -0.00281769 0.0266148 0.760971 0.74592 10.2457 0 0.874916 0.874916
-0.00378568 -0.00463975 0.0349333 0.887483 0.847122 9.78993 0 0.874916 0.874916
-0.00390998 -0.0228038 0.044526 1.01301 0.943722 9.33422 0 0.874916 0.874916
-0.0041403 -0.0228038 0.0545622 0.973971 1.038 9.33422 0 0 -0
-0.00460184 -0.0715009 0.0649992 1.09318 1.12999 8.8785 0 0.874916 0.874916
-0.00562614 -0.134183 0.076616 1.2074 1.21739 8.42278 0 0.874916 0.874916
-0.00734855 -0.20967 0.0893577 1.31573 1.30018 7.96706 0 0.874916 0.874916
-0.00989243 -0.296767 0.103161 1.41753 1.37837 7.51135 0 0.874916 0.874916
-0.0135646 -0.430444 0.116803 1.28076 1.45651 7.96706 0.102 0.874916 -0.874916
-0.0185466 -0.555834 0.129012 1.13358 1.53926 8.42278 0.102 0.874916 -0.874916
-0.0247436 -0.674065 0.140854 1.21046 1.62205 7.96706 0 0.874916 0.874916
-0.0320898 -0.779921 0.152255 1.0441 1.7048 8.42278 0.102 0.874916 -0.874916
-0.0404502 -0.874577 0.161933 0.869201 1.79214 8.8785 0.102 0.874916 -0.874916
-0.0497052 -0.956691 0.169804 0.686384 1.8841 9.33422 0.102 0.874916 -0.874916
-0.0597211 -1.02491 0.175792 0.496484 1.98065 9.78993 0.102 0.874916 -0.874916
-0.070351 -1.07791 0.179832 0.300595 2.08181 10.2457 0.102 0.874916 -0.874916
-0.0814349 -1.11443 0.181869 0.100079 2.18757 10.7014 0.102 0.874916 -0.874916
-0.0927351 -1.12222 0.182356 -0.00476894 2.28726 9.02405 0.0408261 0.35019 -0.35019
-0.104102 -1.12604 0.181285 -0.209336 2.38069 9.47977 0.102 0.874916 -0.874916
-0.115475 -1.12604 0.178976 -0.248376 2.47643 9.47977 0 0 0
-0.126722 -1.09829 0.175453 -0.45064 2.57446 9.93548 0.102 0.874916 -0.874916
-0.137609 -1.05434 0.169905 -0.649299 2.67708 10.3912 0.102 0.874916 -0.874916
-0.14797 -0.993923 0.162376 -0.842472 2.78431 10.8469 0.102 0.874916 -0.874916
-0.157638 -0.917023 0.152931 -1.02811 2.89614 11.3026 0.102 0.874916 -0.874916
-0.166448 -0.823935 0.141658 -1.20404 3.01258 11.7584 0.102 0.874916 -0.874916
-0.174239 -0.715295 0.128667 -1.36797 3.13362 12.2141 0.102 0.874916 -0.874916
-0.180859 -0.592124 0.114089 -1.51758 3.25926 12.6698 0.102 0.874916 -0.874916
-0.186283 -0.47872 0.0980634 -1.65479 3.38905 13.0351 0.0918777 0.874916 -0.701265
-0.190972 -0.44721 0.0805878 -1.80664 3.50192 9.27808 0 0.874916 0.0298521
-0.195312 -0.410582 0.061585 -1.95733 3.5777 5.69179 0 0.874916 0.0735451
-0.198718 -0.262076 0.0413282 -2.05432 3.60003 -1.33809 0 0.874916 -0.807952
-0.200582 -0.105539 0.0201152 -2.14749 3.5888 -0.882374 0.102 0.874916 -0.874916
-0.200867 0.0505079 -0.00204645 -2.24206 3.58216 -0.426657 0.102 0.874916 -0.874916
