X Xd Y Yd Th Thd s Fn Ft
0 0 0 0 0 0 0 0 0
-0.00058581 -0.117206 0.000390184 0.0779923 0.00227859 0.455717 0.102 0.874916 -0.874916
-0.00118968 -0.00204013 0.00157389 0.157976 0.0433387 7.74719 0.102 0.874916 0.874916
-0.0018349 -0.128413 0.00351781 0.225937 0.123864 8.20291 0.102 0.874916 -0.874916
-0.00299618 -0.103529 0.00621833 0.310099 0.232762 13.4127 0.102 0.874916 0.342047
-0.00476502 -0.249957 0.00955777 0.348191 0.370509 13.8684 0.102 0.874916 -0.874916
-0.00699066 -0.193784 0.0136512 0.464828 0.508302 13.4127 0 0.874916 0.874916
-0.00892875 -0.193113 0.0188501 0.56567 0.642279 13.1144 0.01761 0.874916 0.572813
-0.0107964 -0.180168 0.0251917 0.691638 0.772455 12.6586 0 0.874916 0.874916
-0.0126396 -0.188375 0.0328095 0.817917 0.898029 12.2029 0 0.874916 0.874916
-0.0153603 -0.351388 0.0407489 0.750158 1.02356 12.6586 0.102 0.874916 -0.874916
-0.0197048 -0.509402 0.0479013 0.661858 1.15369 13.1144 0.102 0.874916 -0.874916
-0.0256083 -0.659523 0.0540595 0.553131 1.28842 13.5701 0.102 0.874916 -0.874916
-0.0327003 -0.748853 0.0601577 0.65342 1.4232 13.1144 0 0.874916 0.874916
-0.0409066 -0.875 0.0660406 0.507237 1.55793 13.5701 0.102 0.874916 -0.874916
-0.0503102 -0.985324 0.0703646 0.344836 1.69727 14.0258 0.102 0.874916 -0.874916
-0.060939 -1.12288 0.0741285 0.397809 1.83665 13.5701 0 0.874916 0.874916
-0.0730162 -1.27174 0.0783298 0.431122 1.97143 13.1144 0 0.874916 0.874916
-0.0861376 -1.32356 0.0817089 0.234897 2.10617 13.5701 0.102 0.874916 -0.874916
-0.0999581 -1.41255 0.0835082 0.118537 2.22181 9.28744 0 0.874916 -0.104706
-0.115048 -1.57747 0.0845963 0.0941632 2.31333 8.83173 0 0.874916 0.874916
-0.131809 -1.74305 0.0853638 0.0550317 2.40026 8.37601 0 0.874916 0.874916
-0.149354 -1.72872 0.0848986 -0.148966 2.48713 8.83173 0.102 0.874916 -0.874916
-0.167151 -1.79468 0.0827201 -0.284746 2.57636 8.83713 0.0516044 0.874916 -0.0103685
-0.18608 -1.95454 0.079445 -0.36693 2.66334 8.38141 0 0.874916 0.874916
-0.205948 -1.97874 0.0749542 -0.524133 2.7244 3.66404 0 0.874916 -0.21599
-0.226206 -2.03266 0.0689451 -0.667536 2.76123 3.62844 0.047016 0.874916 0.0683468
-0.246975 -2.08014 0.0614725 -0.813789 2.77934 -0.0788647 0 0.874916 0.0425665
-0.267644 -2.01207 0.0523029 -1.00383 2.78082 0.376852 0.102 0.874916 -0.874916
-0.287623 -1.94344 0.041215 -1.19361 2.78691 0.83257 0.102 0.874916 -0.874916
-0.306904 -1.87355 0.0282129 -1.38281 2.7976 1.28829 0.102 0.874916 -0.874916
