X Xd Y Yd Th Thd s Fn Ft
0 0 0 0 0 0 0 0 0
0.000582154 0.115709 0.000393791 0.0794594 0.0364574 7.29148 0.102 0.874916 0.874916
0.00227512 0.218247 0.00162264 0.166599 0.145942 14.4596 0.102 0.874916 0.843335
0.00494135 0.307257 0.00379687 0.267071 0.289705 14.0039 0 0.874916 0.874916
0.00840456 0.375709 0.00704446 0.37871 0.428865 13.5481 0 0.874916 0.874916
0.0124535 0.422963 0.011462 0.498288 0.563423 13.0924 0 0.874916 0.874916
0.0168729 0.448884 0.017114 0.622721 0.693378 12.6367 0 0.874916 0.874916
0.0214486 0.45378 0.024035 0.749132 0.81873 12.181 0 0.874916 0.874916
0.0259712 0.438327 0.0322317 0.8749 0.93948 11.7253 0 0.874916 0.874916
0.03024 0.403501 0.0416855 0.997694 1.05563 11.2696 0 0.874916 0.874916
0.0340651 0.35051 0.0523562 1.11549 1.16717 10.8138 0 0.874916 0.874916
0.0375063 0.329903 0.0636507 1.12072 1.27572 10.6794 0 0.258081 0.258081
0.0404232 0.244364 0.0754911 1.22343 1.3813 10.2237 0 0.874916 0.874916
0.042404 0.14466 0.0883219 1.31656 1.48228 9.76798 0 0.874916 0.874916
0.0433137 0.0324121 0.102042 1.39923 1.57866 9.31226 0 0.874916 0.874916
0.0430337 -0.0907793 0.116541 1.47082 1.67044 8.85655 0 0.874916 0.874916
0.0414611 -0.22337 0.131707 1.53096 1.75761 8.40083 0 0.874916 0.874916
0.0387307 -0.31657 0.146402 1.37615 1.84424 8.75713 0.0908745 0.874916 -0.684056
0.0348002 -0.464277 0.160491 1.41194 1.93041 8.30142 0 0.874916 0.874916
0.029348 -0.61774 0.174878 1.43509 2.01197 7.8457 0 0.874916 0.874916
0.0223225 -0.775652 0.189437 1.44589 2.08894 7.38998 0 0.874916 0.874916
0.0142895 -0.813333 0.203041 1.24561 2.16585 7.8457 0.102 0.874916 -0.874916
0.00593962 -0.838138 0.21461 1.04285 2.24737 8.30142 0.102 0.874916 -0.874916
-0.00259261 -0.849153 0.224122 0.838595 2.3335 8.75713 0.102 0.874916 -0.874916
-0.0113807 -0.88963 0.231783 0.676196 2.42303 8.97553 0.075441 0.874916 -0.419291
-0.0211902 -1.05419 0.238338 0.618819 2.51141 8.51981 0 0.874916 0.874916
-0.0316862 -1.02153 0.243579 0.417455 2.59974 8.97553 0.102 0.874916 -0.874916
-0.04178 -0.974315 0.246803 0.219717 2.69267 9.43125 0.102 0.874916 -0.874916
-0.0519474 -1.03807 0.248331 0.0805633 2.78754 9.35529 0.0424992 0.874916 0.145833
-0.0631731 -1.18513 0.248581 -0.0345499 2.87975 8.89957 0 0.874916 0.874916
-0.0747078 -1.09595 0.247332 -0.213093 2.97192 9.35529 0.102 0.874916 -0.874916
-0.0864379 -1.22657 0.244486 -0.353878 3.06413 8.89957 0 0.874916 0.874916
-0.0994395 -1.34753 0.24016 -0.505987 3.15174 8.44385 0 0.874916 0.874916
-0.112768 -1.29055 0.234593 -0.596627 3.22844 6.72852 0.0473541 0.406185 -0.406185
-0.126321 -1.39282 0.227726 -0.765915 3.29412 6.2728 0 0.874916 0.874916
-0.140865 -1.48663 0.219118 -0.941424 3.3552 5.81709 0 0.874916 0.874916
-0.156315 -1.57227 0.208709 -1.12221 3.41167 5.36137 0 0.874916 0.874916
-0.17259 -1.6501 0.196452 -1.30744 3.46354 4.90565 0 0.874916 0.874916
-0.189615 -1.7206 0.182305 -1.49634 3.51081 4.44994 0 0.874916 0.874916
-0.207316 -1.78428 0.166235 -1.68827 3.55348 3.99422 0 0.874916 0.874916
-0.22563 -1.84174 0.148214 -1.88264 3.59154 3.5385 0 0.874916 0.874916
-0.244495 -1.8936 0.128219 -2.07898 3.625 3.08278 0 0.874916 0.874916
-0.263194 -1.80821 0.106589 -2.20518 3.63178 -1.78953 0 0.874916 -0.255655
-0.280666 -1.65015 0.0838766 -2.2937 3.61598 -1.33382 0.102 0.874916 -0.874916
-0.296545 -1.49276 0.0602584 -2.38436 3.60479 -0.878099 0.102 0.874916 -0.874916
-0.310837 -1.33585 0.0357169 -2.47642 3.5982 -0.422381 0.102 0.874916 -0.874916
-0.323546 -1.17916 0.0102416 -2.56916 3.59621 0.0333358 0.102 0.874916 -0.874916
