X Xd Y Yd Th Thd s Fn Ft
0 0 0 0 0 0 0 0 0
0.000582154 0.115709 0.000393791 0.0794594 0.0364574 7.29148 0.102 0.874916 0.874916
0.00113077 -0.00968151 0.00154993 0.148576 0.11238 7.74719 0.102 0.874916 -0.874916
0.000372365 -0.143134 0.00335453 0.207564 0.192905 8.20291 0.102 0.874916 -0.874916
-0.000991921 -0.129122 0.00587471 0.292572 0.301454 13.3427 0.102 0.874916 0.324135
-0.00194327 -0.0619395 0.00938331 0.404795 0.433937 12.887 0 0.874916 0.874916
-0.00231688 -0.0149627 0.014065 0.524468 0.561817 12.4313 0 0.874916 0.874916
-0.0031141 -0.145257 0.0194327 0.535796 0.688858 12.7282 0.0842288 0.874916 -0.570047
-0.00540775 -0.310685 0.0246939 0.502078 0.819692 13.1839 0.102 0.874916 -0.874916
-0.00856717 -0.314974 0.029568 0.462608 0.951926 12.9993 0.00265645 0.022786 -0.022786
-0.012558 -0.476039 0.0338728 0.38547 1.0855 13.455 0.102 0.874916 -0.874916
-0.018145 -0.630451 0.037291 0.286873 1.22367 13.9107 0.102 0.874916 -0.874916
-0.025245 -0.774998 0.0396077 0.167251 1.36645 14.3665 0.102 0.874916 -0.874916
-0.0337418 -0.906371 0.0406149 0.0275864 1.51383 14.8222 0.102 0.874916 -0.874916
-0.0434738 -1.01893 0.0401297 -0.128046 1.66498 15.1118 0.0998938 0.85685 -0.85685
-0.0542598 -1.11438 0.0379779 -0.302243 1.81989 15.5675 0.102 0.874916 -0.874916
-0.0659006 -1.1875 0.0339977 -0.489707 1.9794 16.0232 0.102 0.874916 -0.874916
-0.0786788 -1.34569 0.0291202 -0.480259 2.13896 15.5675 0 0.874916 0.874916
-0.0930864 -1.50953 0.0242113 -0.496185 2.29391 15.1118 0 0.874916 0.874916
-0.108343 -1.50721 0.0181771 -0.700675 2.44882 15.5675 0.102 0.874916 -0.874916
-0.123559 -1.50561 0.010858 -0.749078 2.60408 15.1744 0.00585617 0.050232 -0.050232
-0.138522 -1.45285 0.00230608 -0.944947 2.75962 15.6302 0.102 0.874916 -0.874916
-0.153939 -1.59955 -0.00779651 -1.06052 2.91521 15.1744 0 0.874916 0.874916
-0.170774 -1.73286 -0.0191762 -1.1976 3.06619 14.7187 0 0.874916 0.874916
-0.188877 -1.85017 -0.0320363 -1.35335 3.21257 14.263 0 0.874916 0.874916
-0.208076 -1.94951 -0.0465503 -1.52475 3.35435 13.8073 0 0.874916 0.874916
-0.22705 -1.8045 -0.0625616 -1.64355 3.49608 14.263 0.102 0.874916 -0.874916
-0.244802 -1.70766 -0.0797912 -1.76713 3.64118 14.4703 0.0742036 0.874916 -0.398063
-0.262245 -1.74283 -0.0986387 -1.96788 3.78505 14.0146 0 0.874916 0.874916
-0.279485 -1.66849 -0.119169 -2.09735 3.90756 10.2066 0 0.874916 0.0167889
-0.296325 -1.66338 -0.141376 -2.30187 4.00836 9.7509 0 0.874916 0.874916
-0.31263 -1.56353 -0.165138 -2.40327 4.0857 5.52096 0 0.874916 -0.0912178
-0.327606 -1.40041 -0.189465 -2.41357 4.105 -1.77052 0 0.874916 -0.874916
