X Xd Y Yd Th Thd s Fn Ft
0 0 0 0 0 0 0 0 0
0.000582154 0.115709 0.000393791 0.0794594 0.0364574 7.29148 0.102 0.874916 0.874916
0.0019489 0.153303 0.00160065 0.160951 0.136371 12.5454 0.102 0.874916 0.353348
0.00281747 0.01536 0.00350341 0.213386 0.265359 13.0012 0.102 0.874916 -0.874916
0.00223716 -0.133362 0.00584328 0.246975 0.398949 13.4569 0.102 0.874916 -0.874916
0.000110334 -0.290542 0.00841988 0.259748 0.537142 13.9126 0.102 0.874916 -0.874916
-0.00363501 -0.45342 0.0110142 0.250002 0.679937 14.3683 0.102 0.874916 -0.874916
-0.00904084 -0.618812 0.0133917 0.216402 0.827336 14.824 0.102 0.874916 -0.874916
-0.0155011 -0.664142 0.016044 0.308597 0.975603 14.5329 0.0184254 0.874916 0.558824
-0.0222089 -0.664142 0.0189656 0.269558 1.12239 14.5329 0 0 0
-0.0292273 -0.729941 0.0222602 0.382362 1.26689 14.0772 0 0.874916 0.874916
-0.0373146 -0.870796 0.0255096 0.256454 1.41135 14.5329 0.102 0.874916 -0.874916
-0.0466259 -0.977137 0.0285516 0.344213 1.55585 14.0772 0 0.874916 0.874916
-0.0570982 -1.10038 0.0323997 0.415624 1.69575 13.6215 0 0.874916 0.874916
-0.068791 -1.21579 0.0363155 0.356923 1.81427 9.80976 0 0.874916 0.0158307
-0.0817931 -1.36159 0.0401294 0.396331 1.91107 9.35404 0 0.874916 0.874916
-0.095738 -1.40041 0.0440219 0.373638 2.00497 9.2381 0 0.222588 0.222588
-0.110143 -1.45002 0.0468146 0.176636 2.10055 9.69382 0.102 0.874916 -0.874916
-0.125595 -1.61202 0.0485874 0.171773 2.19618 9.2381 0 0.874916 0.874916
-0.141984 -1.63071 0.049306 -0.0317776 2.29176 9.69382 0.102 0.874916 -0.874916
-0.158454 -1.63071 0.0487887 -0.0710555 2.38962 9.68335 0.000146686 0.00125822 -0.00125822
-0.174869 -1.61705 0.0470497 -0.275094 2.4897 10.1391 0.102 0.874916 -0.874916
-0.191064 -1.58661 0.0432597 -0.476866 2.59438 10.5948 0.102 0.874916 -0.874916
-0.206952 -1.55776 0.03776 -0.613061 2.69359 9.03435 0.0624373 0.535563 -0.535563
-0.222562 -1.53081 0.0306772 -0.790805 2.78637 9.34227 0.0854602 0.874916 -0.591173
-0.237655 -1.45471 0.0217535 -0.976883 2.88301 9.79799 0.102 0.874916 -0.874916
-0.252045 -1.39287 0.0112085 -1.11163 2.97523 8.44907 0.070192 0.60208 -0.60208
-0.266774 -1.52363 -0.000712946 -1.25226 3.05828 7.99336 0 0.874916 0.874916
-0.281615 -1.41317 -0.0141771 -1.4147 3.10256 0.70188 0 0.874916 -0.874916
-0.295324 -1.30019 -0.0292672 -1.57486 3.11193 1.1576 0.102 0.874916 -0.874916
