X Xd Y Yd Th Thd s Fn Ft
0 0 0 0 0 0 0 0 0
-0.000582154 -0.115709 0.000393791 0.0794594 -0.0364574 -7.29148 0 0.874916 -0.874916
-0.00230007 -0.224055 0.00162079 0.165653 -0.107823 -6.83576 0.102 0.874916 -0.874916
-0.0050677 -0.323501 0.00375517 0.25903 -0.174585 -6.38004 0.102 0.874916 -0.874916
-0.00879585 -0.414209 0.0068642 0.358544 -0.236745 -5.92432 0.102 0.874916 -0.874916
-0.0129794 -0.414209 0.0102903 0.319504 -0.296581 -5.92432 0 0 0
-0.0164242 -0.265704 0.0136963 0.353754 -0.358695 -6.38004 0 0.874916 0.874916
-0.0194348 -0.329514 0.0178348 0.467533 -0.420855 -5.92432 0.102 0.874916 -0.874916
-0.0230433 -0.384065 0.0231408 0.584859 -0.478412 -5.46861 0.102 0.874916 -0.874916
-0.0271586 -0.429895 0.0296464 0.704964 -0.531366 -5.01289 0.102 0.874916 -0.874916
-0.0316956 -0.467605 0.0373761 0.82719 -0.579718 -4.55717 0.102 0.874916 -0.874916
-0.0365756 -0.497849 0.0463486 0.950984 -0.623467 -4.10145 0.102 0.874916 -0.874916
-0.0407849 -0.333866 0.0558805 0.935166 -0.66717 -4.55717 0 0.874916 0.874916
-0.0442425 -0.349772 0.0659541 1.06098 -0.710919 -4.10145 0.102 0.874916 -0.874916
-0.0478259 -0.35883 0.0773014 1.18731 -0.750065 -3.64574 0.102 0.874916 -0.874916
-0.0506222 -0.193231 0.0891171 1.15098 -0.789165 -4.10145 0 0.874916 0.874916
-0.0522024 -0.118311 0.101005 1.20308 -0.830312 -4.04578 0.0572305 0.874916 -0.106885
-0.0525707 0.0469483 0.112913 1.15314 -0.873453 -4.5015 0 0.874916 0.874916
-0.0516581 0.134984 0.124753 1.19148 -0.900236 -0.765185 0.102 0.874916 -0.0351419
-0.0501981 0.15447 0.137414 1.31692 -0.905686 -0.309468 0.102 0.874916 -0.874916
-0.048538 0.174477 0.151342 1.4423 -0.906533 0.146249 0.102 0.874916 -0.874916
-0.0462586 0.27769 0.166004 1.46165 -0.882976 4.56231 0.102 0.874916 0.138861
-0.0428727 0.393385 0.180793 1.46821 -0.811416 9.65837 0.102 0.874916 0.312929
-0.0388995 0.393385 0.195426 1.42917 -0.713867 9.65837 0 0 -0
-0.035012 0.373472 0.210489 1.55449 -0.614038 10.1141 0.102 0.874916 -0.874916
-0.0314086 0.336911 0.226805 1.67692 -0.509608 10.5698 0.102 0.874916 -0.874916
-0.0277401 0.387823 0.244068 1.74327 -0.383492 14.442 0.102 0.874916 -0.000355675
-0.0230775 0.535114 0.26184 1.77968 -0.239906 13.9863 0 0.874916 0.874916
-0.0180625 0.453984 0.280292 1.87323 -0.0966521 14.3847 0.0955907 0.874916 -0.764963
-0.0128637 0.573946 0.299572 1.94819 0.0463552 13.929 0 0.874916 0.874916
-0.0065378 0.676737 0.31969 2.03885 0.18476 13.4733 0 0.874916 0.874916
0.000734509 0.76098 0.34079 2.14228 0.318562 13.0176 0 0.874916 0.874916
0.00876115 0.825815 0.362986 2.25553 0.447761 12.5619 0 0.874916 0.874916
0.0168053 0.764374 0.386077 2.31623 0.57473 12.5808 0.0531189 0.874916 -0.0363505
0.0237095 0.600644 0.409415 2.30143 0.704075 13.0365 0.102 0.874916 -0.874916
0.0289488 0.435155 0.432495 2.26494 0.838022 13.4922 0.102 0.874916 -0.874916
0.0325201 0.270863 0.455096 2.20595 0.976572 13.948 0.102 0.874916 -0.874916
0.0344514 0.111005 0.476986 2.1241 1.11973 14.4037 0.102 0.874916 -0.874916
0.0355725 0.111005 0.498244 2.08506 1.2652 14.4037 0 0 0
0.0362774 0.0243535 0.519823 2.18701 1.4084 13.948 0 0.874916 0.874916
0.035944 -0.0918324 0.541801 2.16244 1.53034 10.16 0 0.874916 0.0219125
0.0344272 -0.207593 0.562865 2.00505 1.63523 10.6157 0.102 0.874916 -0.874916
0.0318064 -0.310026 0.58228 1.83595 1.74473 11.0714 0.102 0.874916 -0.874916
0.0282252 -0.397309 0.599933 1.65625 1.85883 11.5271 0.102 0.874916 -0.874916
0.0238456 -0.467665 0.615724 1.46737 1.97753 11.9828 0.102 0.874916 -0.874916
0.0188471 -0.519421 0.629568 1.2711 2.10083 12.4385 0.102 0.874916 -0.874916
0.013601 -0.519421 0.642211 1.23206 2.22646 12.4385 0 0 0
0.0082818 -0.530468 0.653635 1.02788 2.35437 12.8943 0.102 0.874916 -0.874916
0.00264359 -0.584618 0.663283 0.880173 2.46054 8.08098 0 0.874916 -0.240542
-0.00315258 -0.560612 0.671157 0.677299 2.54443 8.5367 0.102 0.874916 -0.874916
-0.00962351 -0.721828 0.677625 0.600481 2.62838 8.08098 0 0.874916 0.874916
-0.0177054 -0.87943 0.683251 0.510637 2.70771 7.62527 0 0.874916 0.874916
-0.0266914 -0.899121 0.68762 0.352675 2.76119 2.9176 0 0.874916 -0.213507
-0.0365307 -1.05043 0.690653 0.246275 2.78838 2.46188 0 0.874916 0.874916
-0.0467868 -0.9791 0.692196 0.0577557 2.81552 2.9176 0.102 0.874916 -0.874916
-0.0563011 -0.903403 0.691846 -0.128599 2.84727 3.37332 0.102 0.874916 -0.874916
-0.0656828 -0.95426 0.689817 -0.274922 2.88096 3.2974 0.0425033 0.874916 0.145763
-0.0748979 -0.868823 0.686133 -0.455848 2.91654 3.75311 0.102 0.874916 -0.874916
-0.083224 -0.778079 0.680638 -0.633436 2.95673 4.20883 0.102 0.874916 -0.874916
-0.0910826 -0.778079 0.674045 -0.672476 2.99924 4.20883 0 0 0
-0.0984352 -0.675905 0.666402 -0.84186 3.04403 4.66455 0.102 0.874916 -0.874916
-0.104726 -0.567713 0.657073 -1.00629 3.09342 5.12026 0.102 0.874916 -0.874916
-0.110594 -0.592973 0.646132 -1.16205 3.16793 9.67957 0.102 0.874916 0.17553
-0.115964 -0.467408 0.63365 -1.309 3.26797 10.1353 0.102 0.874916 -0.874916
-0.12117 -0.56213 0.619563 -1.48383 3.36806 9.67957 0 0.874916 0.874916
-0.127264 -0.643142 0.603665 -1.66727 3.46354 9.22386 0 0.874916 0.874916
-0.134107 -0.710365 0.585879 -1.85762 3.55443 8.76814 0 0.874916 0.874916
-0.141561 -0.763937 0.566143 -2.05334 3.6407 8.31242 0 0.874916 0.874916
-0.149489 -0.804176 0.544408 -2.253 3.72238 7.8567 0 0.874916 0.874916
-0.157759 -0.83155 0.520643 -2.45535 3.79946 7.40099 0 0.874916 0.874916
-0.166243 -0.846643 0.494825 -2.6593 3.87193 6.94527 0 0.874916 0.874916
-0.174794 -0.846643 0.467771 -2.69834 3.94207 6.94527 0 0 -0
-0.182518 -0.681259 0.440355 -2.72901 4.0145 7.40099 0.102 0.874916 -0.874916
-0.188576 -0.516966 0.412689 -2.74736 4.09153 7.8567 0.102 0.874916 -0.874916
-0.193342 -0.425126 0.384374 -2.85976 4.153 4.2797 0 0.874916 0.0759219
-0.19739 -0.375094 0.354571 -3.04338 4.19431 3.89661 0.00812793 0.874916 0.73548
-0.20095 -0.328361 0.322841 -3.24131 4.23138 3.44089 0 0.874916 0.874916
-0.20401 -0.276127 0.289122 -3.43752 4.26386 2.98518 0 0.874916 0.874916
-0.206517 -0.219171 0.253429 -3.63209 4.29173 2.52946 0 0.874916 0.874916
-0.20843 -0.158253 0.215778 -3.82514 4.315 2.07374 0 0.874916 0.874916
-0.209264 -0.00564316 0.177268 -3.79982 4.33822 2.52946 0.102 0.874916 -0.874916
-0.208564 0.145275 0.139032 -3.77063 4.36605 2.98518 0.102 0.874916 -0.874916
-0.206738 0.217799 0.100007 -3.95857 4.39392 2.52946 0 0.874916 0.874916
-0.20416 0.294111 0.059094 -4.14461 4.41719 2.07374 0 0.874916 0.874916
-0.200637 0.404552 0.0168407 -4.22311 4.41966 -1.62094 0 0.874916 0.0458003
-0.195819 0.551057 -0.0256198 -4.18489 4.40557 -1.16522 0.102 0.874916 -0.874916
