X Xd Y Yd Th Thd s Fn Ft
0 0 0 0 0 0 0 0 0
0.000582154 0.115709 0.000393791 0.0794594 0.0364574 7.29148 0.102 0.874916 0.874916
0.00113077 -0.00968151 0.00154993 0.148576 0.11238 7.74719 0.102 0.874916 -0.874916
0.00152848 0.0868229 0.0035186 0.244038 0.227084 15.0387 0.102 0.874916 0.874916
0.00280875 0.163804 0.00651089 0.351479 0.376696 14.583 0 0.874916 0.874916
0.00475546 0.21845 0.01064 0.468643 0.521705 14.1272 0 0.874916 0.874916
0.00714037 0.250323 0.0159863 0.592001 0.662112 13.6715 0 0.874916 0.874916
0.00973357 0.259532 0.0225955 0.718209 0.797915 13.2158 0 0.874916 0.874916
0.0123087 0.24666 0.0304807 0.844181 0.929116 12.7601 0 0.874916 0.874916
0.0146473 0.212678 0.0396253 0.967137 1.05571 12.3044 0 0.874916 0.874916
0.0165424 0.158868 0.0499864 1.08464 1.17771 11.8486 0 0.874916 0.874916
0.0178011 0.0867443 0.0614981 1.19459 1.2951 11.3929 0 0.874916 0.874916
0.0179704 -0.0528518 0.0729373 1.06659 1.41245 11.8486 0.102 0.874916 -0.874916
0.0171553 -0.110533 0.0838728 1.09802 1.53087 11.5979 0 0.481347 0.481347
0.0154527 -0.225361 0.094183 0.939753 1.65029 12.0536 0.102 0.874916 -0.874916
0.0126653 -0.324861 0.102828 0.768432 1.77431 12.5094 0.102 0.874916 -0.874916
0.00895843 -0.406902 0.109684 0.585637 1.90293 12.9651 0.102 0.874916 -0.874916
0.00451868 -0.469474 0.114645 0.393372 2.03615 13.4208 0.102 0.874916 -0.874916
-0.000448077 -0.51077 0.117626 0.194066 2.17398 13.8765 0.102 0.874916 -0.874916
-0.00571913 -0.529281 0.118571 -0.00942675 2.31641 14.3322 0.102 0.874916 -0.874916
-0.0118925 -0.694692 0.118275 -0.0536186 2.45889 13.8765 0 0.874916 0.874916
-0.0197276 -0.857769 0.117416 -0.120876 2.59677 13.4208 0 0.874916 0.874916
-0.0291855 -1.01554 0.115767 -0.209922 2.73004 12.9651 0 0.874916 0.874916
-0.0401996 -1.16544 0.113117 -0.319151 2.85871 12.5094 0 0.874916 0.874916
-0.0526791 -1.3053 0.109271 -0.44672 2.98277 12.0536 0 0.874916 0.874916
-0.0665136 -1.43338 0.104052 -0.590629 3.10224 11.5979 0 0.874916 0.874916
-0.081577 -1.54832 0.0973071 -0.748799 3.2171 11.1422 0 0.874916 0.874916
-0.0977314 -1.64916 0.0889019 -0.919133 3.32735 10.6865 0 0.874916 0.874916
-0.114831 -1.73526 0.0787241 -1.09958 3.43301 10.2308 0 0.874916 0.874916
-0.132725 -1.80631 0.0666816 -1.28815 3.53406 9.77506 0 0.874916 0.874916
-0.151261 -1.86228 0.0527014 -1.48302 3.63051 9.31934 0 0.874916 0.874916
-0.169273 -1.70231 0.0373057 -1.56492 3.68818 2.02787 0 0.874916 -0.874916
-0.186657 -1.73998 0.0204989 -1.76525 3.70638 1.57215 0 0.874916 0.874916
-0.203794 -1.65274 0.00205842 -1.88765 3.69865 -3.14933 0 0.874916 -0.217042
-0.219682 -1.49199 -0.0173976 -1.9666 3.66912 -2.69361 0.102 0.874916 -0.874916
-0.233952 -1.33239 -0.0376735 -2.04991 3.6442 -2.23789 0.102 0.874916 -0.874916
-0.246615 -1.17383 -0.0588095 -2.13683 3.62387 -1.78217 0.102 0.874916 -0.874916
-0.257682 -1.01616 -0.0808382 -2.2266 3.60815 -1.32646 0.102 0.874916 -0.874916
-0.26716 -0.859188 -0.103785 -2.31848 3.59703 -0.87074 0.102 0.874916 -0.874916
