X Xd Y Yd Th Thd s Fn Ft
0 0 0 0 0 0 0 0 0
0.000582154 0.115709 0.000393791 0.0794594 0.0364574 7.29148 0.102 0.874916 0.874916
0.00229614 0.222431 0.00162409 0.166977 0.146559 14.583 0.102 0.874916 0.874916
0.00500392 0.311268 0.0038026 0.267557 0.291568 14.1272 0 0.874916 0.874916
0.00850595 0.379345 0.00705591 0.379362 0.431974 13.6715 0 0.874916 0.874916
0.0125888 0.426007 0.0114809 0.499113 0.567778 13.2158 0 0.874916 0.874916
0.0170351 0.451115 0.0171419 0.623671 0.698979 12.7601 0 0.874916 0.874916
0.0216283 0.454981 0.0240728 0.750107 0.825577 12.3044 0 0.874916 0.874916
0.0261571 0.438299 0.0322788 0.875753 0.947573 11.8486 0 0.874916 0.874916
0.0300824 0.336812 0.0412315 0.895229 1.06734 11.8673 0.0530886 0.874916 -0.0358299
0.0329078 0.220943 0.0502344 0.885087 1.18766 11.9595 0.0613147 0.874916 -0.176951
0.0343911 0.072828 0.0586244 0.772146 1.31073 12.4152 0.102 0.874916 -0.874916
0.0346828 -0.018805 0.0669266 0.870956 1.43384 11.9595 0 0.874916 0.874916
0.0339034 -0.136591 0.0755148 0.826866 1.55491 12.0144 0.0571453 0.874916 -0.105424
0.0319528 -0.248261 0.0830717 0.665643 1.67853 12.4701 0.102 0.874916 -0.874916
0.028866 -0.363713 0.0895155 0.607364 1.80447 12.4678 0.0507471 0.874916 0.00433807
0.0247731 -0.444678 0.0947859 0.432833 1.93246 12.8802 0.0971468 0.874916 -0.791659
0.0195136 -0.599582 0.0992706 0.452114 2.06027 12.4245 0 0.874916 0.874916
0.0126568 -0.760577 0.103851 0.451543 2.18348 11.9688 0 0.874916 0.874916
0.00486536 -0.779098 0.107396 0.248016 2.30664 12.4245 0.102 0.874916 -0.874916
-0.00383131 -0.944614 0.109713 0.207019 2.42985 11.9688 0 0.874916 0.874916
-0.0132781 -0.92246 0.110786 0.00394177 2.55301 12.4245 0.102 0.874916 -0.874916
-0.0223997 -0.879959 0.109826 -0.195068 2.68078 12.8802 0.102 0.874916 -0.874916
-0.0314754 -0.915525 0.107104 -0.346203 2.78985 8.67731 0 0.874916 -0.0842939
-0.0414634 -1.06268 0.103043 -0.461161 2.87521 8.22159 0 0.874916 0.874916
-0.0529042 -1.20302 0.0977601 -0.588072 2.95597 7.76587 0 0.874916 0.874916
-0.0657262 -1.33606 0.0911408 -0.725718 3.03213 7.31016 0 0.874916 0.874916
-0.0798539 -1.46145 0.0830826 -0.872918 3.10368 6.85444 0 0.874916 0.874916
-0.0952091 -1.57906 0.0734947 -1.02854 3.17064 6.39872 0 0.874916 0.874916
-0.111713 -1.68889 0.0622973 -1.19152 3.23298 5.943 0 0.874916 0.874916
-0.128461 -1.62623 0.049512 -1.34135 3.26637 0.614745 0 0.874916 -0.372368
-0.145393 -1.72755 0.0351144 -1.51141 3.2703 0.159027 0 0.874916 0.874916
-0.162285 -1.61631 0.0192252 -1.63623 3.26885 -0.452298 0.0865101 0.74205 -0.74205
-0.177955 -1.48543 0.00199676 -1.77678 3.26656 0.00341926 0.102 0.874916 -0.874916
-0.19237 -1.36798 -0.0166004 -1.90714 3.2651 -0.295462 0.091619 0.785872 -0.785872
-0.206697 -1.47007 -0.0367103 -2.07661 3.25983 -0.75118 0 0.874916 0.874916
-0.220895 -1.34026 -0.0583931 -2.21853 3.25453 -0.295462 0.102 0.874916 -0.874916
-0.233784 -1.21076 -0.0815117 -2.36084 3.25382 0.160255 0.102 0.874916 -0.874916
