X Xd Y Yd Th Thd s Fn Ft
0 0 0 0 0 0 0 0 0
-0.00058581 -0.117206 0.000390184 0.0779923 0.00227859 0.455717 0.102 0.874916 -0.874916
-0.00235761 -0.234945 0.00156587 0.155449 0.00915992 0.911434 0.102 0.874916 -0.874916
-0.00532344 -0.353745 0.00351892 0.231822 0.020644 1.36715 0.102 0.874916 -0.874916
-0.00949661 -0.474121 0.00623558 0.306549 0.0367308 1.82287 0.102 0.874916 -0.874916
-0.0148955 -0.596566 0.00969633 0.379044 0.0574204 2.27859 0.102 0.874916 -0.874916
-0.0213695 -0.686526 0.0137241 0.418681 0.0742956 1.05089 0.0735984 0.631298 -0.631298
-0.0283034 -0.686526 0.0177576 0.379642 0.0849096 1.05089 0 0 0
-0.0352596 -0.690816 0.0219826 0.457775 0.076968 -2.66021 0 0.874916 0.0415962
-0.0416935 -0.581551 0.0270348 0.542967 0.0478263 -3.11494 0.000111193 0.874916 0.873009
-0.0476342 -0.593929 0.0329072 0.620755 -0.00437393 -7.2628 0 0.874916 -0.0702083
-0.0530308 -0.472088 0.0395501 0.693857 -0.0800068 -7.71852 0 0.874916 0.874916
-0.0577361 -0.458013 0.046945 0.771058 -0.157968 -7.71938 0.0509035 0.874916 0.00165482
-0.0628312 -0.550084 0.0552197 0.869654 -0.233655 -7.26366 0.102 0.874916 -0.874916
-0.0688043 -0.631815 0.0645233 0.974637 -0.30474 -6.80795 0.102 0.874916 -0.874916
-0.0744429 -0.482408 0.0745379 1.00701 -0.375779 -7.26366 0 0.874916 0.874916
-0.079003 -0.419097 0.0850176 1.06825 -0.427046 -2.84448 0.102 0.874916 0.13966
-0.0824575 -0.263141 0.0958946 1.08497 -0.458054 -3.3002 0 0.874916 0.874916
-0.0843282 -0.105418 0.106915 1.09647 -0.493664 -3.75592 0 0.874916 0.874916
-0.0845968 0.0541045 0.118022 1.10196 -0.533878 -4.21164 0 0.874916 0.874916
-0.0835044 0.163473 0.129311 1.13351 -0.548756 1.32018 0.102 0.874916 0.424475
-0.0814711 0.239366 0.141018 1.18563 -0.513308 5.74303 0.102 0.874916 0.140598
-0.0786959 0.309598 0.15327 1.24209 -0.433235 10.1568 0.102 0.874916 0.138266
-0.0751423 0.394248 0.165794 1.23948 -0.319915 12.304 0.0567835 0.487067 0.487067
