X Xd Y Yd Th Thd s Fn Ft
0 0 0 0 0 0 0 0 0
0.000582154 0.115709 0.000393791 0.0794594 0.0364574 7.29148 0.102 0.874916 0.874916
0.00170755 0.105236 0.00158503 0.157034 0.129292 11.1296 0.102 0.874916 -0.00908466
0.00325129 0.198876 0.00364979 0.254514 0.239422 10.6739 0 0.874916 0.874916
0.00566491 0.27728 0.00674728 0.361287 0.344949 10.2181 0 0.874916 0.874916
0.00879324 0.34024 0.0109613 0.47537 0.445874 9.76243 0 0.874916 0.874916
0.0124804 0.387815 0.0163565 0.594915 0.542196 9.30671 0 0.874916 0.874916
0.0165722 0.42029 0.0229792 0.718233 0.633915 8.851 0 0.874916 0.874916
0.0209185 0.438133 0.0308599 0.843809 0.721032 8.39528 0 0.874916 0.874916
0.0253436 0.438133 0.0391872 0.804769 0.805824 8.39528 0 0 -0
0.0297292 0.42793 0.0479472 0.930999 0.888338 7.93956 0 0.874916 0.874916
0.033945 0.404513 0.0579763 1.05589 0.966249 7.48384 0 0.874916 0.874916
0.0378618 0.368775 0.0692562 1.17854 1.03956 7.02813 0 0.874916 0.874916
0.04136 0.321651 0.0817607 1.29825 1.10826 6.57241 0 0.874916 0.874916
0.0443293 0.264091 0.0954573 1.41449 1.17237 6.11669 0 0.874916 0.874916
0.046669 0.197047 0.110309 1.52688 1.23187 5.66098 0 0.874916 0.874916
0.048288 0.12145 0.126275 1.63519 1.28676 5.20526 0 0.874916 0.874916
0.0487955 -0.0215965 0.142185 1.51269 1.34161 5.66098 0.102 0.874916 -0.874916
0.0481274 -0.112878 0.157963 1.61184 1.39651 5.20526 0 0.874916 0.874916
0.0465008 -0.211302 0.174718 1.70599 1.44681 4.74954 0 0.874916 0.874916
0.0438481 -0.316008 0.192399 1.79527 1.4925 4.29382 0 0.874916 0.874916
0.0400347 -0.439498 0.209789 1.64587 1.53814 4.74954 0.102 0.874916 -0.874916
0.0350006 -0.557557 0.225641 1.49068 1.58839 5.20526 0.102 0.874916 -0.874916
0.0287639 -0.679576 0.241067 1.56362 1.63869 4.74954 0 0.874916 0.874916
0.021268 -0.806831 0.257199 1.63058 1.68438 4.29382 0 0.874916 0.874916
0.013119 -0.806831 0.273473 1.59154 1.72775 4.29382 0 0 0
0.00449295 -0.901196 0.288675 1.4164 1.77339 4.74954 0.102 0.874916 -0.874916
-0.00505374 -0.988931 0.302087 1.23689 1.82364 5.20526 0.102 0.874916 -0.874916
-0.0154498 -1.06917 0.313664 1.05297 1.87849 5.66098 0.102 0.874916 -0.874916
-0.026615 -1.141 0.323361 0.864717 1.93795 6.11669 0.102 0.874916 -0.874916
-0.0384599 -1.20349 0.331136 0.672315 2.00201 6.57241 0.102 0.874916 -0.874916
-0.0508851 -1.25567 0.336948 0.476113 2.07067 7.02813 0.102 0.874916 -0.874916
-0.0637818 -1.29658 0.340762 0.276612 2.14393 7.48384 0.102 0.874916 -0.874916
-0.0776908 -1.45963 0.343515 0.2665 2.21724 7.02813 0 0.874916 0.874916
-0.0925284 -1.47667 0.345189 0.0627448 2.2905 7.48384 0.102 0.874916 -0.874916
-0.107476 -1.48123 0.3448 -0.141822 2.36836 7.93956 0.102 0.874916 -0.874916
-0.122405 -1.47252 0.342345 -0.346218 2.45083 8.39528 0.102 0.874916 -0.874916
-0.137176 -1.44985 0.337832 -0.549277 2.5379 8.851 0.102 0.874916 -0.874916
-0.151646 -1.41263 0.331279 -0.749654 2.62958 9.30671 0.102 0.874916 -0.874916
-0.166154 -1.45913 0.322978 -0.896355 2.72371 9.33307 0.0539493 0.874916 -0.0505964
-0.18057 -1.39238 0.312967 -1.08691 2.82025 9.78878 0.102 0.874916 -0.874916
-0.195361 -1.5367 0.301399 -1.2071 2.91684 9.33307 0 0.874916 0.874916
-0.21042 -1.44212 0.288325 -1.38204 3.01338 9.78878 0.102 0.874916 -0.874916
-0.224459 -1.33459 0.273533 -1.54697 3.11453 10.2445 0.102 0.874916 -0.874916
-0.237348 -1.21465 0.257132 -1.70012 3.22027 10.7002 0.102 0.874916 -0.874916
-0.248968 -1.08311 0.239251 -1.83967 3.33062 11.1559 0.102 0.874916 -0.874916
-0.259206 -0.941107 0.220036 -1.9638 3.44558 11.6117 0.102 0.874916 -0.874916
-0.267963 -0.790137 0.199652 -2.07073 3.56513 12.0674 0.102 0.874916 -0.874916
-0.275259 -0.652492 0.178314 -2.1527 3.68465 11.594 0.0888439 0.762068 -0.762068
-0.281039 -0.489742 0.156209 -2.22196 3.80402 12.0497 0.102 0.874916 -0.874916
-0.28516 -0.324534 0.133503 -2.27126 3.928 12.5054 0.102 0.874916 -0.874916
-0.288403 -0.314147 0.109541 -2.47549 4.05203 12.0497 0 0.874916 0.874916
-0.29076 -0.151477 0.0844795 -2.48392 4.17601 12.5054 0.102 0.874916 -0.874916
-0.291496 0.00603514 0.059434 -2.4721 4.30459 12.9611 0.102 0.874916 -0.874916
-0.29068 0.155557 0.0346086 -2.44018 4.43778 13.4168 0.102 0.874916 -0.874916
-0.288525 0.27253 0.00969148 -2.49219 4.55214 9.18667 0 0.874916 -0.0912703
-0.285173 0.392341 -0.0156069 -2.51624 4.62126 4.45307 0 0.874916 -0.220146
-0.280607 0.512872 -0.041021 -2.51587 4.63977 -0.839595 0 0.874916 -0.363256
