X Xd Y Yd Th Thd s Fn Ft
0 0 0 0 0 0 0 0 0
0.000582154 0.115709 0.000393791 0.0794594 0.0364574 7.29148 0.102 0.874916 0.874916
0.00173855 0.111411 0.00158701 0.157525 0.130201 11.3114 0.102 0.874916 0.0374672
0.00218884 -0.0254094 0.00346214 0.211667 0.246725 11.7672 0.102 0.874916 -0.874916
0.00120551 -0.172303 0.00580128 0.248932 0.367852 12.2229 0.102 0.874916 -0.874916
-0.00130447 -0.327466 0.00842492 0.267533 0.493582 12.6786 0.102 0.874916 -0.874916
-0.005414 -0.488709 0.0111363 0.265853 0.623914 13.1343 0.102 0.874916 -0.874916
-0.0102521 -0.472752 0.0144482 0.391557 0.754292 12.6786 0 0.874916 0.874916
-0.0158546 -0.638176 0.0181985 0.347051 0.884624 13.1343 0.102 0.874916 -0.874916
-0.0231195 -0.801417 0.0213906 0.280722 1.01956 13.59 0.102 0.874916 -0.874916
-0.0320091 -0.959324 0.023803 0.192436 1.15909 14.0452 0.101945 0.874916 -0.873964
-0.041876 -0.994492 0.0254723 0.136761 1.29452 12.7594 0.0239763 0.205659 -0.205659
-0.0523395 -1.07723 0.0264014 0.0446492 1.4154 11.1614 0.060573 0.519572 -0.519572
-0.0638699 -1.20527 0.0261449 -0.0993229 1.53041 11.6172 0.102 0.874916 -0.874916
-0.0766295 -1.32014 0.0243622 -0.257551 1.65002 12.0729 0.102 0.874916 -0.874916
-0.0901885 -1.36415 0.0212796 -0.354655 1.76342 10.3644 0.0448928 0.385073 -0.385073
-0.104668 -1.50601 0.0179414 -0.308334 1.86582 9.9087 0 0.874916 0.874916
-0.120382 -1.6058 0.0142919 -0.41669 1.94179 5.0877 0 0.874916 -0.242518
-0.136921 -1.66849 0.00912449 -0.609018 1.99546 5.54342 0.102 0.874916 -0.874916
-0.153836 -1.68083 0.00260158 -0.683488 2.04517 4.28924 0.023106 0.198195 -0.198195
-0.171605 -1.83952 -0.0042543 -0.675117 2.08622 3.83352 0 0.874916 0.874916
-0.190641 -1.93084 -0.0116465 -0.790078 2.1027 -0.613649 0 0.874916 -0.146824
-0.210352 -1.97275 -0.0206228 -0.989359 2.09878 -0.157932 0.102 0.874916 -0.874916
-0.230409 -1.9994 -0.0313102 -1.1283 2.08952 -1.6907 0.0636712 0.546147 -0.546147
-0.250826 -2.04428 -0.043699 -1.32677 2.07472 -1.23498 0.102 0.874916 -0.874916
-0.271706 -2.09115 -0.0580893 -1.52467 2.06453 -0.779265 0.102 0.874916 -0.874916
-0.293066 -2.13928 -0.0744763 -1.7222 2.05894 -0.323548 0.102 0.874916 -0.874916
