X Xd Y Yd Th Thd s Fn Ft
0 0 0 0 0 0 0 0 0
0.000366035 0.0726147 0.00039216 0.0787955 0.0301327 6.02654 0.102 0.874916 0.551115
0.000485164 -0.0514072 0.0015481 0.149498 0.0932793 6.48226 0.102 0.874916 -0.874916
-0.00068291 -0.182335 0.00337727 0.211855 0.161029 6.93797 0.102 0.874916 -0.874916
-0.00320739 -0.320033 0.00579011 0.264799 0.233381 7.39369 0.102 0.874916 -0.874916
-0.0071553 -0.464203 0.00868602 0.307219 0.310336 7.84941 0.102 0.874916 -0.874916
-0.0114839 -0.394187 0.0123395 0.418239 0.387336 7.39369 0 0.874916 0.874916
-0.0162362 -0.549142 0.0166705 0.437587 0.464291 7.84941 0.102 0.874916 -0.874916
-0.0217826 -0.549142 0.0208949 0.398547 0.54357 7.84941 0 0 0
-0.0281377 -0.711367 0.0249021 0.392702 0.625128 8.30512 0.102 0.874916 -0.874916
-0.0361433 -0.875796 0.0287826 0.373156 0.711288 8.76084 0.102 0.874916 -0.874916
-0.0456221 -1.00251 0.0323855 0.338173 0.794567 7.71977 0.0780982 0.669896 -0.669896
-0.0557475 -1.00251 0.0356058 0.299133 0.872537 7.71977 0 0 0
-0.0662232 -1.07427 0.0389328 0.359044 0.975006 12.6196 0.102 0.874916 0.262703
-0.0772628 -1.11554 0.0431698 0.480301 1.10019 12.1639 0 0.874916 0.874916
-0.088718 -1.1529 0.0477561 0.426621 1.21648 10.8516 0.0247264 0.212094 -0.212094
-0.100735 -1.23002 0.0526092 0.534072 1.3238 10.3959 0 0.874916 0.874916
-0.113606 -1.32208 0.0585041 0.632635 1.42652 9.94017 0 0.874916 0.874916
-0.126959 -1.32208 0.0646985 0.593595 1.52692 9.94017 0 0 0
-0.140904 -1.43838 0.0699195 0.436721 1.62959 10.3959 0.102 0.874916 -0.874916
-0.155851 -1.52042 0.0736308 0.295419 1.73001 9.47997 0.0807718 0.692829 -0.692829
-0.171671 -1.61089 0.0757334 0.117712 1.82804 9.93569 0.102 0.874916 -0.874916
-0.188334 -1.687 0.0759986 -0.0683507 1.93067 10.3914 0.102 0.874916 -0.874916
-0.205688 -1.74731 0.0743476 -0.26157 2.0379 10.8471 0.102 0.874916 -0.874916
-0.223566 -1.7904 0.0707154 -0.460449 2.14973 11.3028 0.102 0.874916 -0.874916
-0.241788 -1.815 0.0650536 -0.663188 2.26617 11.7586 0.102 0.874916 -0.874916
-0.260162 -1.82005 0.0573334 -0.867681 2.38721 12.2143 0.102 0.874916 -0.874916
-0.278485 -1.80471 0.047549 -1.07153 2.51285 12.67 0.102 0.874916 -0.874916
-0.296549 -1.76846 0.0357198 -1.27207 2.6431 13.1257 0.102 0.874916 -0.874916
-0.315194 -1.92384 0.0224086 -1.36814 2.77339 12.67 0 0.874916 0.874916
-0.334711 -1.93903 0.00780601 -1.52529 2.8788 8.15911 0 0.874916 -0.163135
-0.353863 -1.85049 -0.00850056 -1.70426 2.96349 8.61483 0.102 0.874916 -0.874916
-0.372311 -1.80131 -0.0262371 -1.80832 3.04194 6.90286 0.0502209 0.430775 -0.430775
-0.389969 -1.69356 -0.0453283 -1.97314 3.0752 -0.388617 0 0.874916 -0.874916
