X Xd Y Yd Th Thd s Fn Ft
0 0 0 0 0 0 0 0 0
9.87648e-05 0.0193169 0.000390749 0.0782209 0.0223113 4.46226 0.102 0.874916 0.150688
0.00026623 0.0125281 0.00157048 0.156086 0.0866269 8.31161 0.102 0.874916 -0.00620779
0.000594367 0.0505413 0.00356529 0.24046 0.197902 13.7772 0.102 0.874916 0.407528
0.0015321 0.132683 0.00650766 0.345099 0.334774 13.3215 0 0.874916 0.874916
0.00211186 -0.0208113 0.0101251 0.36795 0.471599 13.7772 0.102 0.874916 -0.874916
0.00212141 0.0194379 0.0144442 0.489444 0.608471 13.3215 0 0.874916 0.874916
0.00242777 0.0377825 0.0200128 0.614896 0.740739 12.8658 0 0.874916 0.874916
0.0028115 0.0346501 0.0268558 0.741345 0.868405 12.4101 0 0.874916 0.874916
0.00305942 0.0108452 0.0349697 0.866112 0.991468 11.9544 0 0.874916 0.874916
0.00296803 -0.0325254 0.0443253 0.986825 1.10993 11.4986 0 0.874916 0.874916
0.00234626 -0.0941251 0.0548713 1.10144 1.22379 11.0429 0 0.874916 0.874916
0.00101737 -0.172454 0.066537 1.20825 1.33304 10.5872 0 0.874916 0.874916
-0.00117966 -0.265911 0.0792366 1.30586 1.43769 10.1315 0 0.874916 0.874916
-0.00450595 -0.392141 0.0917061 1.1597 1.5423 10.5872 0.102 0.874916 -0.874916
-0.00904798 -0.506217 0.102635 1.00069 1.65151 11.0429 0.102 0.874916 -0.874916
-0.0146735 -0.606233 0.111896 0.829735 1.76532 11.4986 0.102 0.874916 -0.874916
-0.021231 -0.690293 0.119377 0.648092 1.88374 11.9544 0.102 0.874916 -0.874916
-0.0287272 -0.794227 0.125456 0.553096 1.9829 7.64011 0 0.874916 -0.112797
-0.0375272 -0.950569 0.13113 0.568628 2.05779 7.18439 0 0.874916 0.874916
-0.0476227 -1.04896 0.136363 0.465704 2.10996 3.10683 0 0.874916 -0.052213
-0.0584014 -1.08498 0.140105 0.273256 2.14172 3.18234 0.0970449 0.832414 -0.832414
-0.0695271 -1.11753 0.141859 0.0718223 2.17614 3.63806 0.102 0.874916 -0.874916
-0.0809523 -1.14409 0.141573 -0.130694 2.21516 4.09377 0.102 0.874916 -0.874916
-0.0926127 -1.16389 0.139236 -0.334165 2.25879 4.54949 0.102 0.874916 -0.874916
-0.104436 -1.17612 0.13484 -0.538368 2.30702 5.00521 0.102 0.874916 -0.874916
-0.116341 -1.18 0.12838 -0.742975 2.35985 5.46092 0.102 0.874916 -0.874916
-0.128684 -1.26412 0.120276 -0.863654 2.4149 5.43998 0.0486559 0.874916 0.0402127
-0.141388 -1.24979 0.110533 -1.06768 2.47212 5.8957 0.102 0.874916 -0.874916
-0.154831 -1.41367 0.0994424 -1.1306 2.52939 5.43998 0 0.874916 0.874916
-0.169922 -1.57599 0.0876712 -1.20248 2.58206 4.98426 0 0.874916 0.874916
-0.18587 -1.58091 0.0746653 -1.37468 2.63363 5.23162 0.0786823 0.874916 -0.474895
-0.20263 -1.73899 0.0603457 -1.46311 2.68419 4.7759 0 0.874916 0.874916
-0.220459 -1.79127 0.044851 -1.607 2.73237 4.76269 0.0495212 0.874916 0.0253684
-0.238691 -1.81867 0.0278487 -1.76145 2.75835 0.339117 0 0.874916 -0.140784
-0.257059 -1.81867 0.00986282 -1.80049 2.76178 0.339117 0 0 0
-0.275428 -1.81867 -0.00851732 -1.83953 2.7652 0.339117 0 0 0
-0.293466 -1.75242 -0.0280511 -2.03038 2.7709 0.794834 0.102 0.874916 -0.874916
