X Xd Y Yd Th Thd s Fn Ft
0 0 0 0 0 0 0 0 0
0.000582154 0.115709 0.000393791 0.0794594 0.0364574 7.29148 0.102 0.874916 0.874916
0.00175082 0.115709 0.00100113 0.0404196 0.110101 7.29148 0 0 0
0.00226074 -0.0172995 0.00171586 0.100017 0.186024 7.74719 0.102 0.874916 -0.874916
0.00139045 -0.157603 0.00298006 0.14892 0.266549 8.20291 0.102 0.874916 -0.874916
-0.000931358 -0.304695 0.00467966 0.185915 0.351677 8.65863 0.102 0.874916 -0.874916
-0.0041346 -0.331991 0.00694275 0.262477 0.461437 13.1203 0.102 0.874916 0.150533
-0.00745208 -0.325418 0.00952215 0.2483 0.593598 13.0495 0 0.135944 0.135944
-0.0106158 -0.304405 0.0126534 0.373437 0.723119 12.5938 0 0.874916 0.874916
-0.0136729 -0.304396 0.0170575 0.499921 0.848038 12.138 0 0.874916 0.874916
-0.0168318 -0.324637 0.022735 0.625171 0.968353 11.6823 0 0.874916 0.874916
-0.020244 -0.35361 0.0294467 0.704105 1.08467 11.3479 0 0.642051 0.642051
-0.0240887 -0.411193 0.0371445 0.820272 1.19701 10.8922 0 0.874916 0.874916
-0.0285997 -0.485478 0.0459805 0.929182 1.30474 10.4365 0 0.874916 0.874916
-0.0339382 -0.574928 0.0558744 1.02946 1.40787 9.98075 0 0.874916 0.874916
-0.0402493 -0.677953 0.0667333 1.12002 1.5064 9.52503 0 0.874916 0.874916
-0.0476623 -0.79296 0.0784549 1.20009 1.60032 9.06931 0 0.874916 0.874916
-0.0562902 -0.91839 0.0909305 1.26914 1.68964 8.6136 0 0.874916 0.874916
-0.0661614 -1.03754 0.103578 1.23325 1.77621 8.52678 0.0412841 0.874916 0.166678
-0.0773455 -1.17972 0.116273 1.27908 1.86005 8.07106 0 0.874916 0.874916
-0.0899989 -1.32835 0.129371 1.31304 1.93929 7.61534 0 0.874916 0.874916
-0.103981 -1.441 0.142274 1.23937 2.03755 11.8849 0.102 0.874916 0.101351
-0.118764 -1.48331 0.153801 1.0403 2.15987 12.3406 0.102 0.874916 -0.874916
-0.133873 -1.50541 0.163295 0.83722 2.28678 12.7963 0.102 0.874916 -0.874916
-0.1491 -1.50618 0.170728 0.632669 2.41831 13.252 0.102 0.874916 -0.874916
-0.164225 -1.48487 0.1761 0.429503 2.55443 13.7077 0.102 0.874916 -0.874916
-0.179022 -1.44113 0.179439 0.230855 2.69516 14.1635 0.102 0.874916 -0.874916
-0.193266 -1.37508 0.180809 0.0400789 2.84049 14.6192 0.102 0.874916 -0.874916
-0.207867 -1.51559 0.180598 -0.0863935 2.98586 14.1635 0 0.874916 0.874916
-0.222686 -1.41483 0.178889 -0.251371 3.13107 14.5957 0.0993744 0.874916 -0.829874
-0.237539 -1.52441 0.175548 -0.414421 3.27621 14.14 0 0.874916 0.874916
-0.252862 -1.50733 0.170586 -0.569419 3.40056 10.448 0 0.874916 0.0464819
-0.267781 -1.44489 0.164119 -0.711597 3.48252 5.73476 0 0.874916 -0.214929
-0.28162 -1.29334 0.156395 -0.817415 3.54272 6.19048 0.102 0.874916 -0.874916
-0.294978 -1.35076 0.147171 -1.01179 3.60297 5.73476 0 0.874916 0.874916
-0.30887 -1.39908 0.135966 -1.20923 3.65861 5.27904 0 0.874916 0.874916
-0.323206 -1.43889 0.122756 -1.40903 3.70965 4.82333 0 0.874916 0.874916
-0.337361 -1.36276 0.107878 -1.53812 3.737 0.549313 0 0.874916 -0.1025
-0.351118 -1.3614 0.0914435 -1.71792 3.74102 0.245486 0.0169982 0.874916 0.583308
-0.364054 -1.19857 0.0737452 -1.78726 3.74578 0.701203 0.102 0.874916 -0.874916
