X Xd Y Yd Th Thd s Fn Ft
0 0 0 0 0 0 0 0 0
0.000582154 0.115709 0.000393791 0.0794594 0.0364574 7.29148 0.102 0.874916 0.874916
0.00113077 -0.00968151 0.00154993 0.148576 0.11238 7.74719 0.102 0.874916 -0.874916
0.000372365 -0.143134 0.00335453 0.207564 0.192905 8.20291 0.102 0.874916 -0.874916
-0.000629412 -0.0562706 0.0059547 0.309498 0.273476 7.74719 0 0.874916 0.874916
-0.00192988 -0.203719 0.00927219 0.345811 0.354001 8.20291 0.102 0.874916 -0.874916
-0.0047488 -0.35689 0.0128951 0.369668 0.439129 8.65863 0.102 0.874916 -0.874916
-0.00914003 -0.514961 0.0166919 0.379912 0.52886 9.11434 0.102 0.874916 -0.874916
-0.015148 -0.676887 0.0205195 0.375423 0.623193 9.57006 0.102 0.874916 -0.874916
-0.0228055 -0.841384 0.0242236 0.355153 0.722129 10.0258 0.102 0.874916 -0.874916
-0.0321213 -1.00502 0.0276493 0.320034 0.825616 10.4711 0.100836 0.874916 -0.854944
-0.0422951 -1.01074 0.0309959 0.342789 0.93052 10.3003 0 0.327965 0.327965
-0.0526507 -1.04296 0.0350776 0.466144 1.03227 9.84455 0 0.874916 0.874916
-0.0635438 -1.11718 0.040153 0.53801 1.16043 15.5904 0.102 0.874916 0.479257
-0.0751693 -1.18948 0.0461453 0.647801 1.31562 15.1347 0 0.874916 0.874916
-0.0876365 -1.28362 0.0531853 0.744851 1.4662 14.6789 0 0.874916 0.874916
-0.101152 -1.39684 0.0611305 0.826505 1.61218 14.2232 0 0.874916 0.874916
-0.115895 -1.52618 0.0698146 0.890707 1.75355 13.7675 0 0.874916 0.874916
-0.131747 -1.61028 0.0779128 0.709134 1.89488 14.2232 0.102 0.874916 -0.874916
-0.148343 -1.67311 0.0841221 0.517001 2.04082 14.6789 0.102 0.874916 -0.874916
-0.16604 -1.83374 0.0893673 0.517736 2.1868 14.2232 0 0.874916 0.874916
-0.185382 -1.99842 0.0945026 0.495058 2.32817 13.7675 0 0.874916 0.874916
-0.206394 -2.16379 0.0992934 0.449388 2.46495 13.3118 0 0.874916 0.874916
-0.22837 -2.18521 0.103 0.28255 2.60048 13.5284 0.0752428 0.874916 -0.415891
-0.250204 -2.1343 0.104866 0.0860361 2.73939 13.9841 0.102 0.874916 -0.874916
-0.271416 -2.06174 0.104787 -0.101739 2.88291 14.4398 0.102 0.874916 -0.874916
-0.29179 -1.96835 0.10287 -0.277388 3.03103 14.8956 0.102 0.874916 -0.874916
-0.311376 -1.90789 0.0995388 -0.38178 3.17308 13.2151 0.0548755 0.470701 -0.470701
-0.330017 -1.77994 0.0949481 -0.525799 3.30883 13.6708 0.102 0.874916 -0.874916
-0.347299 -1.63877 0.0889938 -0.651209 3.44918 14.1266 0.102 0.874916 -0.874916
-0.363851 -1.63877 0.0822213 -0.690249 3.59186 14.1266 0 0 0
-0.380402 -1.63877 0.0750546 -0.729289 3.73454 14.1266 0 0 0
-0.396135 -1.47449 0.0673736 -0.788316 3.87949 14.5823 0.102 0.874916 -0.874916
-0.410199 -1.30901 0.0592147 -0.824083 4.00951 11.1297 0.0505435 0.874916 -0.874916
-0.422865 -1.19733 0.0504538 -0.909934 4.09804 6.35378 0 0.874916 -0.230984
-0.434801 -1.16409 0.0402554 -1.11121 4.15994 5.89807 0 0.874916 0.874916
-0.445877 -1.02791 0.0288355 -1.14985 4.19 -0.00359519 0 0.874916 -0.519149
