X Xd Y Yd Th Thd s Fn Ft
0 0 0 0 0 0 0 0 0
0.000582154 0.115709 0.000393791 0.0794594 0.0364574 7.29148 0.102 0.874916 0.874916
0.00113077 -0.00968151 0.00154993 0.148576 0.11238 7.74719 0.102 0.874916 -0.874916
0.00150705 0.0825656 0.00351544 0.243315 0.22645 14.9119 0.102 0.874916 0.842454
0.00274508 0.159733 0.00650001 0.350661 0.374781 14.4561 0 0.874916 0.874916
0.0046525 0.214778 0.0106202 0.467687 0.518509 14.0004 0 0.874916 0.874916
0.00700325 0.247273 0.0159562 0.590924 0.657635 13.5447 0 0.874916 0.874916
0.00956969 0.257327 0.0225542 0.717086 0.792158 13.089 0 0.874916 0.874916
0.0121277 0.24551 0.0304283 0.843139 0.922078 12.6333 0 0.874916 0.874916
0.0140368 0.130569 0.0389534 0.842532 1.05029 12.7558 0.0647129 0.874916 -0.235247
0.0145665 -0.0260451 0.0470173 0.749951 1.1814 13.2115 0.102 0.874916 -0.874916
0.0135546 -0.17414 0.0540441 0.63702 1.31711 13.6672 0.102 0.874916 -0.874916
0.011165 -0.298336 0.0598726 0.513071 1.45402 13.4409 0.0927215 0.795328 -0.795328
0.00752587 -0.420935 0.0643177 0.362856 1.59205 13.8966 0.102 0.874916 -0.874916
0.00321385 -0.432725 0.0677182 0.309699 1.72883 13.1819 0.0113357 0.0972334 -0.0972334
-0.00161272 -0.520738 0.0699601 0.130496 1.86425 13.6377 0.102 0.874916 -0.874916
-0.00722964 -0.588676 0.0703364 -0.0594528 2.00427 14.0934 0.102 0.874916 -0.874916
-0.0134239 -0.634523 0.0687513 -0.257503 2.14889 14.5491 0.102 0.874916 -0.874916
-0.0199635 -0.6566 0.0651381 -0.460541 2.29812 15.0048 0.102 0.874916 -0.874916
-0.026602 -0.653673 0.0594638 -0.665024 2.45194 15.4605 0.102 0.874916 -0.874916
-0.0340228 -0.816691 0.0524311 -0.732434 2.60582 15.0048 0 0.874916 0.874916
-0.0425728 -0.874378 0.0443357 -0.873468 2.75724 14.9802 0.0482463 0.874916 0.0472395
-0.0518008 -0.951233 0.034837 -1.01077 2.9077 14.8118 0.0321492 0.874916 0.323389
-0.0620913 -1.08545 0.0239657 -1.14661 3.05502 14.356 0 0.874916 0.874916
-0.0736623 -1.20427 0.0116281 -1.30083 3.19774 13.9003 0 0.874916 0.874916
-0.0863484 -1.30581 -0.00234717 -1.47057 3.33585 13.4446 0 0.874916 0.874916
-0.0999677 -1.38872 -0.018102 -1.65285 3.46936 12.9889 0 0.874916 0.874916
-0.114328 -1.45217 -0.0357485 -1.84476 3.59827 12.5332 0 0.874916 0.874916
-0.128542 -1.36017 -0.0549968 -1.96643 3.69968 7.49691 0 0.874916 -0.297623
-0.141469 -1.19791 -0.0752243 -2.03866 3.73894 0.205432 0 0.874916 -0.874916
-0.153231 -1.13047 -0.0960743 -2.09065 3.73256 -1.48591 0.0422879 0.362729 -0.362729
-0.163837 -0.968181 -0.117549 -2.16278 3.71983 -1.0302 0.102 0.874916 -0.874916
-0.172805 -0.806243 -0.139761 -2.2366 3.7117 -0.574478 0.102 0.874916 -0.874916
